Time,SP,PV,OP,error
1,0.96357,0.34924,0.64931,-0.167
2,0.96357,0.12492,0.66724,0.061315
3,0.96357,0.44282,0.54299,-0.26225
4,0.96357,0.5928,0.46357,-0.41489
5,0.96357,0.55563,0.42771,-0.37706
6,0.96357,0.36847,0.39697,-0.18657
7,0.96357,0.71201,0.27144,-0.53623
8,0.96357,0.23516,0.32523,-0.050888
9,0.96357,0.46205,0.24454,-0.28182
10,0.96357,0.53512,0.17409,-0.35618
11,0.96357,0.34924,0.27656,-0.167
12,0.96357,0.40565,0.13822,-0.22441
13,0.96357,1.3863,-0.12821,-1.2225
14,0.96357,1.0133,-0.12437,-0.84283
15,0.96357,1.2363,-0.24862,-1.0698
16,0.96357,1.1632,-0.32419,-0.99548
17,0.96357,1.7939,-0.52914,-1.6374
18,0.96357,0.84277,-0.42667,-0.66931
19,0.96357,1.0697,-0.55604,-0.90024
20,0.96357,0.72868,-0.54707,-0.55319
21,0.96357,0.31207,-0.55604,-0.12917
22,0.96357,1.0133,-0.76867,-0.84283
23,0.96357,0.47871,-0.73281,-0.29878
24,0.96357,0.51845,-0.80454,-0.33922
25,0.96357,0.47871,-0.83528,-0.29878
26,0.96357,0.19798,-0.76867,-0.013052
27,0.96357,0.25567,-0.79557,-0.071763
28,0.96357,0.36847,-0.8404,-0.18657
29,0.96357,0.46205,-0.85834,-0.28182
30,0.96357,0.38514,-0.88395,-0.20354
31,0.96357,0.34924,-0.86218,-0.167
32,0.96357,0.42487,-0.94672,-0.24398
33,0.96357,0.14158,-0.90189,0.044354
34,0.96357,0.51845,-0.98643,-0.33922
35,0.96357,-0.031472,-0.89292,0.22049
36,0.96357,-0.14556,-0.91598,0.3366
37,0.96357,-0.089157,-0.94288,0.2792
38,0.96357,0.17876,-0.98643,0.0065184
39,0.96357,0.17876,-0.97746,0.0065184
40,0.96357,0.34924,-1.0274,-0.167
41,0.96357,-0.14556,-0.92494,0.3366
42,0.96357,0.44282,-1.0223,-0.26225
43,0.96357,1.1261,-1.1517,-0.95764
44,0.96357,0.51845,-1.0492,-0.33922
45,0.96357,0.16209,-0.9685,0.023479
46,0.96357,-0.35835,-0.85321,0.55318
47,0.96357,0.19798,-0.97746,-0.013052
48,0.96357,0.23516,-1.0185,-0.050888
49,0.96357,1.1799,-1.2669,-1.0124
50,0.96357,-0.031472,-1.0044,0.22049
51,0.96357,0.55563,-1.1427,-0.37706
52,0.96357,0.67612,-1.1786,-0.4997
53,0.96357,-0.22247,-1.0044,0.41488
54,0.96357,0.32873,-1.0889,-0.14613
55,0.96357,0.078769,-1.0441,0.10828
56,0.96357,-0.50961,-0.88011,0.70713
57,0.96357,-0.031472,-0.97746,0.22049
58,0.96357,0.02493,-0.96081,0.16308
59,0.96357,-0.051982,-0.92494,0.24136
60,0.96357,-0.30195,-0.87115,0.49578
61,0.96357,0.078769,-0.91598,0.10828
62,0.96357,0.02493,-0.8673,0.16308
63,0.96357,-0.072492,-0.80838,0.26224
64,0.96357,-0.051982,-0.7469,0.24136
65,0.96357,-0.20196,-0.68413,0.39401
66,0.96357,-0.3763,-0.58678,0.57145
67,0.96357,0.0044202,-0.61752,0.18396
68,0.96357,-0.14556,-0.54707,0.3366
69,0.96357,-0.76599,-0.36006,0.96807
70,0.96357,-0.072492,-0.44844,0.26224
71,0.96357,-0.3763,-0.32803,0.57145
72,0.96357,-0.20196,-0.30242,0.39401
73,0.96357,-0.22247,-0.23581,0.41488
74,0.96357,-0.089157,-0.22684,0.2792
75,0.96357,0.55563,-0.34212,-0.37706
76,0.96357,0.25567,-0.27552,-0.071763
77,0.96357,-0.33912,-0.11028,0.53361
78,0.96357,-0.031472,-0.15127,0.22049
79,0.96357,0.02493,-0.15511,0.16308
80,0.96357,-1.1262,0.12541,1.3347
81,0.96357,1.0133,-0.27552,-0.84283
82,0.96357,0.23516,-0.097469,-0.050888
83,0.96357,-0.10838,-0.016771,0.29877
84,0.96357,-0.014808,0.0088475,0.20353
85,0.96357,-0.41603,0.16512,0.61189
86,0.96357,-0.30195,0.22788,0.49578
87,0.96357,-0.50961,0.31627,0.70713
88,0.96357,-0.47244,0.37903,0.6693
89,0.96357,-0.68266,0.45845,0.88327
90,0.96357,-0.97621,0.58782,1.182
91,0.96357,-0.14556,0.48023,0.3366
92,0.96357,-0.55319,0.6365,0.75149
93,0.96357,-0.80316,0.76587,1.0059
94,0.96357,-0.4327,0.73001,0.62885
95,0.96357,-0.23914,0.72104,0.43185
96,0.96357,-0.70317,0.89012,0.90414
97,0.96357,-0.73907,0.98363,0.94067
98,0.96357,-0.47244,1.0105,0.6693
99,0.96357,-0.666,1.1437,0.86631
100,0.96357,-0.80316,1.1975,1.0059
101,0.96357,-0.53268,1.2142,0.73062
102,0.96357,-0.3763,1.277,0.57145
103,0.96357,-0.12505,1.2731,0.31573
104,0.96357,-0.20196,1.3256,0.39401
105,0.96357,-0.30195,1.4243,0.49578
106,0.96357,-0.14556,1.446,0.3366
107,0.96357,-0.18145,1.4909,0.37313
108,0.96357,-0.70317,1.6548,0.90414
109,0.96357,-0.031472,1.5306,0.22049
110,0.96357,-0.031472,1.5485,0.22049
111,0.96357,-0.14556,1.5844,0.3366
112,0.96357,-0.32246,1.619,0.51665
113,0.96357,0.10441,1.5703,0.08219
114,0.96357,0.14158,1.6241,0.044354
115,0.96357,0.10441,1.61,0.08219
116,0.96357,0.21849,1.5882,-0.033927
117,0.96357,-0.031472,1.6459,0.22049
118,0.96357,-0.4327,1.7266,0.62885
119,0.96357,-0.70317,1.8021,0.90414
120,0.96357,0.10441,1.6689,0.08219
121,0.96357,0.69279,1.5216,-0.51666
122,0.96357,0.49922,1.5575,-0.31965
123,0.96357,0.0044202,1.651,0.18396
124,0.96357,0.29156,1.5844,-0.10829
125,0.96357,0.10441,1.6151,0.08219
126,0.96357,0.36847,1.5485,-0.18657
127,0.96357,0.31207,1.5524,-0.12917
128,0.96357,0.44282,1.4768,-0.26225
