time,SP,PV,OP
1,70,68.88,52.25
2,70,67.5,52.34
3,70,69.25,52.26
4,70,68.5,52.31
5,70,68.5,52.33
6,70,68.69,52.33
7,70,68.63,52.35
8,70,69.25,52.33
9,70,69.31,52.33
10,70,69.19,52.34
11,70,69.38,52.34
12,70,68.69,52.39
13,70,69,52.38
14,70,69.5,52.36
15,70,70.56,52.3
16,70,68.44,52.43
17,70,68.94,52.41
18,70,69.63,52.38
19,70,69.69,52.38
20,70,70.31,52.35
21,70,70.44,52.34
22,70,70.06,52.35
23,70,70.25,52.34
24,70,70.75,52.31
25,70,70.94,52.29
26,70,70.69,52.3
27,70,70.19,52.32
28,70,70.13,52.32
29,70,70.44,52.3
30,70,70.25,52.31
31,70,70.56,52.29
32,70,71.19,52.24
33,70,69.13,52.36
34,70,70.25,52.3
35,70,70.69,52.27
36,70,70.88,52.25
37,70,70.56,52.26
38,70,70.81,52.24
39,70,70.5,52.25
40,70,70.06,52.27
41,70,69.69,52.29
42,70,70.75,52.23
43,70,70.31,52.25
44,70,71.06,52.2
45,70,70.63,52.22
46,70,70.94,52.19
47,70,70.19,52.23
48,70,70.94,52.18
49,70,70.13,52.22
50,70,70.81,52.18
51,70,70.38,52.2
52,70,69.94,52.22
53,70,70.31,52.2
54,70,70.38,52.19
55,70,70.5,52.18
56,70,71.06,52.14
57,70,70.94,52.14
58,70,70.88,52.13
59,70,70.19,52.17
60,70,69.69,52.19
61,70,70.13,52.17
62,70,71.44,52.09
63,70,70.75,52.12
64,70,70.88,52.1
65,70,70.19,52.14
66,70,70.25,52.13
67,70,70.5,52.11
68,70,71.06,52.07
69,70,70.75,52.08
70,70,70.69,52.08
71,70,70.44,52.09
72,70,70.88,52.06
73,70,70.75,52.05
74,70,71.19,52.02
75,70,70.19,52.07
76,70,70.88,52.03
77,70,70.56,52.04
78,70,70.81,52.01
79,70,71.31,51.98
80,70,70.81,51.99
81,70,71.38,51.95
82,70,70.94,51.96
83,70,70.56,51.98
84,70,70.56,51.97
85,70,70.13,51.99
86,70,70.19,51.99
87,70,70.69,51.96
88,70,70.56,51.96
89,70,70.81,51.94
90,70,70.69,51.93
91,70,70.13,51.96
92,70,70.5,51.94
93,70,70.63,51.93
94,70,70.13,51.95
95,70,69,52.02
96,70,70.13,51.96
97,70,69.69,51.98
98,70,70.69,51.93
99,70,69.75,51.98
100,70,69.44,52
101,70,69.81,51.98
102,70,70.06,51.97
103,70,70.19,51.96
104,70,70.69,51.93
105,70,69.69,51.98
106,70,70.63,51.93
107,70,70.25,51.94
108,70,70.13,51.95
109,70,70.38,51.93
110,70,69.94,51.95
111,70,70.06,51.95
112,70,70.31,51.93
113,70,70.31,51.93
114,70,70.56,51.91
115,70,70.38,51.92
116,70,70,51.93
117,70,71.19,51.86
118,70,70.88,51.87
119,70,69.63,51.94
120,70,70.63,51.88
121,70,70.69,51.87
122,70,70.63,51.87
123,70,70.63,51.86
124,70,70.38,51.87
125,70,70.56,51.85
126,70,69.88,51.89
127,70,70.25,51.87
128,70,69.44,51.92
129,70,70.38,51.86
130,70,69.56,51.91
131,70,70.31,51.87
132,70,70.38,51.86
133,70,70.5,51.85
134,70,69.94,51.88
135,70,70.5,51.85
136,70,69.94,51.88
137,70,70.25,51.86
138,70,70,51.87
139,70,70.5,51.84
140,70,69.38,51.9
141,70,69.38,51.91
142,70,69.31,51.92
143,70,69.38,51.92
144,70,69.63,51.91
145,70,69.19,51.94
146,70,69.69,51.92
147,70,70.19,51.89
148,70,69.69,51.92
149,70,70.13,51.9
150,70,70.44,51.88
151,70,70.06,51.9
152,70,70.38,51.88
153,70,70.5,51.87
154,70,70.88,51.84
155,70,70.69,51.84
156,70,71.5,51.79
157,70,70.63,51.82
158,70,70.25,51.84
159,70,70.81,51.8
160,70,71.13,51.78
161,70,70.88,51.78
162,70,70.81,51.78
163,70,70.81,51.77
164,70,70.63,51.77
165,70,70.81,51.75
166,70,71.31,51.71
167,70,70.44,51.75
168,70,71.19,51.7
169,70,70.63,51.73
170,70,71.25,51.68
171,70,71.13,51.68
172,70,71.31,51.66
173,70,70.5,51.69
174,70,70.56,51.68
175,70,70.13,51.7
176,70,70.5,51.68
177,70,70.5,51.67
178,70,69.88,51.71
179,70,70.81,51.65
180,70,70.88,51.64
181,70,70.94,51.63
182,70,70.69,51.63
183,70,70.31,51.65
184,70,70.88,51.61
185,70,69.69,51.67
186,70,69.94,51.66
187,70,69.69,51.68
188,70,70.56,51.63
189,70,70.25,51.64
190,70,70.81,51.61
191,70,69.19,51.69
192,70,70.06,51.65
193,70,70.19,51.64
194,70,70.06,51.65
195,70,70.06,51.65
196,70,70.13,51.64
197,70,70.19,51.64
198,70,70.44,51.62
199,70,69.69,51.66
200,70,70.13,51.64
201,70,70.56,51.61
202,70,70.19,51.63
203,70,69.75,51.65
204,70,70.81,51.59
205,70,70.94,51.58
206,70,71.19,51.55
207,70,70.44,51.58
208,70,70.44,51.58
209,70,70.88,51.55
210,70,70.38,51.57
211,70,70.94,51.53
212,70,69.81,51.59
213,70,69.88,51.59
214,70,70.19,51.57
215,70,69.63,51.6
216,70,69.63,51.61
217,70,69.75,51.6
218,70,69.69,51.61
219,70,68.69,51.67
220,70,69.25,51.65
221,70,69.38,51.65
222,70,69.69,51.64
223,70,69.25,51.67
224,70,69.06,51.69
225,70,70.13,51.63
226,70,69.63,51.66
227,70,69.56,51.67
228,70,70.13,51.64
229,70,69.75,51.66
230,70,69.31,51.69
231,70,70.69,51.61
232,70,70.38,51.63
233,70,69.69,51.66
234,70,69.69,51.67
235,70,69.69,51.67
236,70,69.94,51.66
237,70,69.69,51.67
238,70,70.94,51.6
239,70,70.31,51.63
240,70,70.38,51.62
241,70,70.25,51.63
242,70,70.88,51.59
