time,SP,PV,OP
1,70,67.75,35.41
2,70,66.75,35.66
3,70,65.94,35.88
4,70,66,35.93
5,70,66.19,35.95
6,70,65.5,36.15
7,70,65.06,36.31
8,70,64.5,36.51
9,70,64.94,36.49
10,70,65.88,36.37
11,70,65.19,36.58
12,70,68.44,35.95
13,70,70.38,35.56
14,70,72.5,35.1
15,70,74.56,34.62
16,70,72.44,35
17,70,73.19,34.81
18,70,75.69,34.22
19,70,75.44,34.19
20,70,74.19,34.38
21,70,77.56,33.59
22,70,74.69,34.1
23,70,76.69,33.6
24,70,74.38,34
25,70,73.19,34.19
26,70,71.94,34.41
27,70,69.44,34.92
28,70,68.38,35.15
29,70,68.19,35.22
30,70,67.75,35.34
31,70,67.06,35.52
32,70,66.5,35.68
33,70,67.13,35.6
34,70,66.69,35.74
35,70,65.88,35.96
36,70,65.63,36.08
37,70,65.56,36.16
38,70,65.25,36.29
39,70,64.63,36.49
40,70,65.44,36.4
41,70,66.81,36.17
42,70,68.75,35.8
43,70,70.31,35.48
44,70,71.38,35.25
45,70,72.69,34.95
46,70,72.5,34.95
47,70,73.63,34.67
48,70,73.94,34.55
49,70,74.69,34.33
50,70,73.63,34.49
51,70,76.94,33.72
52,70,74.63,34.12
53,70,76.44,33.66
54,70,75.25,33.82
55,70,72.56,34.32
56,70,71.94,34.42
57,70,69,35.02
58,70,68.31,35.18
59,70,66.88,35.51
60,70,66.75,35.59
61,70,66.06,35.78
62,70,65.19,36.03
63,70,65.06,36.13
64,70,65.06,36.2
65,70,64.88,36.31
66,70,64.94,36.38
67,70,64.81,36.48
68,70,64.81,36.55
69,70,66.5,36.27
70,70,67.44,36.12
71,70,69.75,35.66
72,70,72.06,35.17
73,70,71.69,35.22
74,70,73.25,34.86
75,70,73.56,34.74
76,70,72.81,34.85
77,70,77.19,33.87
78,70,75.69,34.08
79,70,76.38,33.85
80,70,76.19,33.8
81,70,77.13,33.51
82,70,76.38,33.56
83,70,72.63,34.27
84,70,71.31,34.52
85,70,69.56,34.87
86,70,68.31,35.15
87,70,68.5,35.13
88,70,67.44,35.38
89,70,66.63,35.59
90,70,66.19,35.74
91,70,65.94,35.85
92,70,66.31,35.83
93,70,65.75,36
94,70,66,36.01
95,70,64.94,36.3
96,70,65.06,36.35
97,70,65.69,36.29
98,70,67,36.07
99,70,67.75,35.95
100,70,68.13,35.91
101,70,69.88,35.56
102,70,70.75,35.37
103,70,73.31,34.81
104,70,72.75,34.88
105,70,73.19,34.75
106,70,73.06,34.73
107,70,74.88,34.29
108,70,75.38,34.11
109,70,74.88,34.14
110,70,73.81,34.3
111,70,76.69,33.62
112,70,73.81,34.14
113,70,73.88,34.07
114,70,71.81,34.46
115,70,69.94,34.83
116,70,68.69,35.1
117,70,69.63,34.92
118,70,68.56,35.15
119,70,67.5,35.4
120,70,68.44,35.24
121,70,67.44,35.48
122,70,66.44,35.73
123,70,66.38,35.8
124,70,65.88,35.96
125,70,65.44,36.11
126,70,65.38,36.19
127,70,64.94,36.35
128,70,65.19,36.38
129,70,65.19,36.45
130,70,66.5,36.24
131,70,69.19,35.71
132,70,70.06,35.54
133,70,71.94,35.13
134,70,71.56,35.18
135,70,70.06,35.48
136,70,75.13,34.39
137,70,73.81,34.6
138,70,75.44,34.19
139,70,73.38,34.56
140,70,74.94,34.17
141,70,74.88,34.11
142,70,75.94,33.81
143,70,74.31,34.07
144,70,73.44,34.2
145,70,72.94,34.25
146,70,71,34.63
147,70,69.88,34.85
148,70,68.81,35.08
149,70,68.88,35.09
150,70,69.19,35.04
151,70,68.56,35.18
152,70,68.13,35.3
153,70,67.5,35.46
154,70,66.94,35.62
155,70,66.06,35.85
156,70,65.25,36.08
157,70,66,35.99
158,70,66.13,36.03
159,70,67.44,35.8
160,70,69.56,35.38
161,70,69.75,35.35
162,70,70.44,35.2
163,70,71.5,34.97
164,70,70.94,35.07
165,70,70.56,35.14
166,70,73.75,34.44
167,70,71.63,34.84
168,70,74.69,34.16
169,70,72.81,34.49
170,70,72.88,34.44
171,70,73.06,34.36
172,70,71.94,34.55
173,70,70.63,34.81
174,70,70.69,34.78
175,70,70.25,34.87
176,70,69.56,35.01
177,70,68.69,35.21
178,70,68.13,35.35
179,70,67.75,35.45
180,70,67.13,35.62
181,70,67.19,35.65
182,70,66.38,35.87
183,70,66.31,35.93
184,70,65.75,36.11
185,70,65.56,36.21
186,70,65.31,36.33
187,70,65.56,36.35
188,70,67.56,35.98
189,70,69.81,35.54
190,70,69.75,35.55
191,70,69.38,35.64
192,70,70.13,35.49
193,70,71.88,35.11
194,70,70.94,35.28
195,70,74.13,34.58
196,70,71.13,35.17
197,70,74.31,34.47
198,70,73.69,34.54
199,70,74.56,34.29
200,70,72.63,34.64
201,70,74.38,34.23
202,70,73.06,34.44
203,70,72.63,34.49
204,70,70.88,34.83
