Time,SP,PV,OP
0,50,53.992,46.533
2,50,54.256,45.731
4,50,54.933,44.061
6,50,55.344,42.887
8,50,56.169,40.844
10,50,56.169,40.432
12,50,56.85,38.617
14,50,57.223,37.404
16,50,56.959,37.45
18,50,57.075,36.756
20,50,56.696,37.059
22,50,57.525,34.924
24,50,57.296,34.886
26,50,57.978,32.992
28,50,58.129,32.157
30,50,57.9,32.087
32,50,58.164,31.016
34,50,58.164,30.471
36,50,58.013,30.23
38,50,57.56,30.625
40,50,58.539,28.115
42,50,57.939,28.774
44,50,57.9,28.312
46,50,58.241,27.093
48,50,58.164,26.69
50,50,58.013,26.466
52,50,56.85,28.315
54,50,58.241,25.005
56,50,57.676,25.612
58,50,57.412,25.645
60,50,57.149,25.704
62,50,57.377,24.755
64,50,57.075,24.893
66,50,56.696,25.196
68,50,56.812,24.506
70,50,56.471,24.76
72,50,56.696,23.866
74,50,56.134,24.567
76,50,56.25,23.927
78,50,56.022,23.978
80,50,55.681,24.273
82,50,54.744,25.819
84,50,54.364,26.282
86,50,54.217,26.3
88,50,53.803,26.87
90,50,53.164,27.929
92,50,52.037,30.032
94,50,51.696,30.593
96,50,50.534,32.866
98,50,50.158,33.598
100,50,49.554,34.831
102,50,49.143,35.7
104,50,48.764,36.533
106,50,48.237,37.691
108,50,47.528,39.27
110,50,46.285,41.973
112,50,45.685,43.454
114,50,45.305,44.517
116,50,45.123,45.201
118,50,44.442,46.93
120,50,44.07,48.057
122,50,43.806,48.997
124,50,43.578,49.878
126,50,43.164,51.148
128,50,42.718,52.516
130,50,42.226,54.012
132,50,42.489,53.986
134,50,42.374,54.726
136,50,42.489,54.991
138,50,42.338,55.811
140,50,42.374,56.249
142,50,42.637,56.227
144,50,42.374,57.262
146,50,42.338,57.847
148,50,42.489,58.046
150,50,42.791,57.932
152,50,42.942,58.106
154,50,42.942,58.581
156,50,43.206,58.52
158,50,43.318,58.745
160,50,43.469,58.887
162,50,43.617,59.022
164,50,43.88,58.916
166,50,43.996,59.089
168,50,43.996,59.493
170,50,44.259,59.353
172,50,44.558,59.129
174,50,44.67,59.267
176,50,44.821,59.319
178,50,45.084,59.129
180,50,45.348,58.921
182,50,45.348,59.235
184,50,45.611,59.001
186,50,45.723,59.065
188,50,45.874,59.038
190,50,45.987,59.085
192,50,46.138,59.045
194,50,46.548,58.459
196,50,46.664,58.453
198,50,46.963,58.059
200,50,47.075,58.029
202,50,47.191,57.985
204,50,47.454,57.628
206,50,47.718,57.253
208,50,48.129,56.56
210,50,48.129,56.685
212,50,48.279,56.497
214,50,48.543,56.068
216,50,48.655,55.937
218,50,48.69,55.95
220,50,48.919,55.573
222,50,48.919,55.645
224,50,49.182,55.177
226,50,49.217,55.164
228,50,49.217,55.216
230,50,49.333,55.032
232,50,49.48,54.777
234,50,49.48,54.815
236,50,49.48,54.85
238,50,49.596,54.649
240,50,49.596,54.676
242,50,49.596,54.703
244,50,49.596,54.73
246,50,49.596,54.757
248,50,49.596,54.784
250,50,49.596,54.811
252,50,49.48,55.073
254,50,49.48,55.108
256,50,49.256,55.599
258,50,49.143,55.877
260,50,49.143,55.931
262,50,49.143,55.988
264,50,48.992,56.357
266,50,48.992,56.424
268,50,48.88,56.724
270,50,48.88,56.798
272,50,48.617,57.417
274,50,48.617,57.509
276,50,48.353,58.146
278,50,48.09,58.795
280,50,47.939,59.234
282,50,47.676,59.912
284,50,47.563,60.299
286,50,47.374,60.847
288,50,47.374,61.022
290,50,47.226,61.502
292,50,47.226,61.687
294,50,47.226,61.872
296,50,47.226,62.057
298,50,47.226,62.242
300,50,47.226,62.427
302,50,47.149,62.776
304,50,47.149,62.967
306,50,47.265,62.921
308,50,47.149,63.343
310,50,47.265,63.293
312,50,47.149,63.711
314,50,47.338,63.506
316,50,47.338,63.683
