Time,SP,PV,OP
1,4.87,4.89,46.95
2,4.87,4.88,46.88
3,4.87,4.88,46.9
4,4.87,4.88,46.91
5,4.87,4.87,46.84
6,4.87,4.88,46.96
7,4.87,4.87,46.89
8,4.87,4.87,46.81
9,4.87,4.87,46.73
10,4.87,4.87,46.77
11,4.87,4.87,46.92
12,4.87,4.87,46.88
13,4.87,4.87,46.91
14,4.87,4.87,46.9
15,4.87,4.87,46.8
16,4.87,4.86,46.59
17,4.87,4.86,46.5
18,4.87,4.86,46.56
19,4.87,4.87,46.58
20,4.87,4.87,46.74
21,4.87,4.88,46.83
22,4.87,4.87,46.71
23,4.87,4.88,46.87
24,4.87,4.87,46.88
25,4.87,4.87,46.73
26,4.87,4.86,46.56
27,4.87,4.87,46.84
28,4.87,4.87,46.79
29,4.87,4.88,46.91
30,4.87,4.87,46.68
31,4.87,4.87,46.8
32,4.87,4.87,46.64
33,4.87,4.86,46.52
34,4.87,4.86,46.36
35,4.87,4.86,46.28
36,4.87,4.86,46.39
37,4.87,4.86,46.25
38,4.87,4.86,46.1
39,4.87,4.86,46.11
40,4.87,4.85,45.92
41,4.87,4.86,45.98
42,4.87,4.85,45.75
43,4.87,4.86,45.73
44,4.87,4.86,45.7
45,4.87,4.86,45.7
46,4.87,4.86,45.53
47,4.87,4.86,45.54
48,4.87,4.86,45.59
49,4.87,4.86,45.56
50,4.87,4.86,45.55
51,4.87,4.86,45.41
52,4.87,4.87,45.57
53,4.87,4.86,45.39
54,4.87,4.86,45.42
55,4.87,4.87,45.54
56,4.87,4.87,45.45
57,4.87,4.86,45.32
58,4.87,4.87,45.38
59,4.87,4.86,45.1
60,4.87,4.85,44.78
61,4.87,4.83,44.28
62,4.87,4.84,44.33
63,4.87,4.85,44.39
64,4.87,4.85,44.32
65,4.87,4.86,44.37
66,4.87,4.85,44.22
67,4.87,4.86,44.26
68,4.87,4.86,44.19
69,4.87,4.87,44.44
70,4.87,4.87,44.56
71,4.87,4.88,44.69
72,4.87,4.88,44.83
73,4.87,4.87,44.69
74,4.87,4.87,44.63
75,4.87,4.87,44.51
76,4.87,4.86,44.45
77,4.87,4.86,44.29
78,4.87,4.86,44.2
79,4.87,4.86,44.09
80,4.87,4.86,44.1
81,4.87,4.86,43.96
82,4.87,4.86,43.88
83,4.87,4.85,43.72
84,4.87,4.85,43.62
85,4.87,4.86,43.62
86,4.87,4.87,43.79
87,4.87,4.86,43.6
88,4.87,4.86,43.49
89,4.87,4.86,43.38
90,4.87,4.86,43.51
91,4.87,4.87,43.66
92,4.87,4.87,43.62
93,4.87,4.86,43.51
94,4.87,4.87,43.62
95,4.87,4.87,43.69
96,4.87,4.88,43.91
97,4.87,4.87,43.71
98,4.87,4.87,43.68
99,4.87,4.87,43.73
100,4.87,4.87,43.75
101,4.87,4.88,43.87
102,4.87,4.88,44.06
103,4.87,4.89,44.25
104,4.87,4.89,44.43
105,4.87,4.88,44.41
106,4.87,4.88,44.47
107,4.87,4.89,44.71
108,4.87,4.87,44.38
109,4.87,4.87,44.34
110,4.87,4.88,44.56
111,4.87,4.89,44.87
112,4.87,4.89,44.91
113,4.87,4.89,45.01
114,4.87,4.89,45.14
115,4.87,4.89,45.27
116,4.87,4.89,45.33
117,4.87,4.89,45.58
118,4.87,4.89,45.7
119,4.87,4.9,45.95
120,4.87,4.9,46.23
121,4.87,4.9,46.37
122,4.87,4.9,46.56
123,4.87,4.9,46.75
124,4.87,4.91,47.01
125,4.87,4.89,46.87
126,4.87,4.88,46.74
127,4.87,4.89,47.05
128,4.87,4.9,47.3
129,4.87,4.9,47.45
130,4.87,4.89,47.49
131,4.87,4.89,47.61
132,4.87,4.9,47.82
133,4.87,4.89,47.72
134,4.87,4.88,47.64
135,4.87,4.88,47.59
136,4.87,4.88,47.68
137,4.87,4.88,47.81
138,4.87,4.88,47.74
139,4.87,4.89,48.05
140,4.87,4.89,48.31
141,4.87,4.89,48.43
142,4.87,4.89,48.42
143,4.87,4.89,48.67
144,4.87,4.89,48.82
145,4.87,4.88,48.69
146,4.87,4.89,48.8
147,4.87,4.88,48.81
148,4.87,4.88,48.85
149,4.87,4.88,48.8
150,4.87,4.87,48.77
151,4.87,4.87,48.72
152,4.87,4.87,48.55
153,4.87,4.86,48.43
154,4.87,4.87,48.55
155,4.87,4.86,48.35
156,4.87,4.87,48.51
157,4.87,4.87,48.52
158,4.87,4.87,48.57
159,4.87,4.87,48.54
160,4.87,4.87,48.43
161,4.87,4.86,48.26
162,4.87,4.86,48.23
163,4.87,4.87,48.31
164,4.87,4.87,48.34
165,4.87,4.86,48.11
166,4.87,4.86,48.15
167,4.87,4.86,48.02
168,4.87,4.85,47.62
169,4.87,4.84,47.38
170,4.87,4.84,47.17
171,4.87,4.85,47.19
172,4.87,4.85,47.22
173,4.87,4.85,46.98
174,4.87,4.84,46.75
175,4.87,4.85,46.65
176,4.87,4.85,46.52
177,4.87,4.85,46.41
178,4.87,4.85,46.26
179,4.87,4.84,45.99
180,4.87,4.84,45.84
181,4.87,4.84,45.74
182,4.87,4.85,45.64
183,4.87,4.85,45.58
184,4.87,4.85,45.52
185,4.87,4.86,45.58
186,4.87,4.86,45.59
187,4.87,4.86,45.46
188,4.87,4.86,45.42
189,4.87,4.87,45.59
190,4.87,4.87,45.67
191,4.87,4.87,45.75
192,4.87,4.89,46.11
193,4.87,4.88,46.1
194,4.87,4.88,46.03
195,4.87,4.88,46.28
196,4.87,4.89,46.58
197,4.87,4.89,46.73
198,4.87,4.9,47.02
199,4.87,4.9,47.19
200,4.87,4.9,47.34
201,4.87,4.89,47.38
202,4.87,4.89,47.3
203,4.87,4.88,47.19
204,4.87,4.88,47.33
205,4.87,4.88,47.45
206,4.87,4.89,47.64
207,4.87,4.89,47.78
208,4.87,4.89,47.77
209,4.87,4.89,48.02
210,4.87,4.89,48.04
211,4.87,4.89,48.1
212,4.87,4.89,48.18
213,4.87,4.88,48.2
214,4.87,4.88,48.04
215,4.87,4.87,48.05
216,4.87,4.87,47.91
