Time,PV
1,-1.2896
2,-1.2896
3,-1.2896
4,-1.2896
5,-1.2896
6,-1.2896
7,-1.0007
8,-1.0007
9,-0.71178
10,-1.0007
11,-1.2896
12,-1.2896
13,-1.0007
14,-1.0007
15,-1.0007
16,-1.0007
17,-1.0007
18,-1.0007
19,-1.0007
20,-1.2896
21,-1.2896
22,-1.5716
23,-1.2896
24,-1.2896
25,-1.5716
26,-1.5716
27,-1.0007
28,-1.0007
29,-1.0007
30,-0.71178
31,-1.2896
32,-1.2896
33,-1.2896
34,-1.2896
35,-1.2896
36,-1.5716
37,-1.5716
38,-1.2896
39,-1.2896
40,-1.2896
41,-1.5716
42,-1.5716
43,-1.2896
44,-1.5716
45,-1.0007
46,-1.0007
47,-1.2896
48,-1.0007
49,-1.2896
50,-1.2896
51,-1.0007
52,-1.2896
53,-1.2896
54,-1.2896
55,-1.2896
56,-1.2896
57,-1.2896
58,-1.2896
59,-1.5716
60,-1.2896
61,-1.2896
62,-1.2896
63,-1.2896
64,-1.2896
65,-1.2896
66,-1.2896
67,-1.5716
68,-1.2896
69,-1.2896
70,-1.2896
71,-1.2896
72,-1.5716
73,-1.5716
74,-1.2896
75,-1.2896
76,-1.5716
77,-1.5716
78,-1.2896
79,-1.5716
80,-1.2896
81,-1.5716
82,-1.2896
83,-1.2896
84,-1.2896
85,-1.2896
86,-1.2896
87,-1.2896
88,-1.5716
89,-1.8605
90,-1.8605
91,-1.8605
92,-1.8605
93,-1.8605
94,-1.8605
95,-1.8605
96,-1.8605
97,-1.8605
98,-1.8605
99,-1.5716
100,-1.8605
101,-1.2896
102,-1.2896
103,-1.5716
104,-1.2896
105,-1.5716
106,-1.5716
107,-1.5716
108,-1.5716
109,-1.8605
110,-1.5716
111,-1.2896
112,-1.5716
113,-1.5716
114,-1.5716
115,-1.5716
116,-1.2896
117,-1.2896
118,-1.2896
119,-1.2896
120,-1.0007
121,-1.2896
122,-1.0007
123,-1.0007
124,-1.2896
125,-1.2896
126,-1.2896
127,-1.2896
128,-1.2896
129,-1.2896
130,-1.5716
131,-1.0007
132,-1.2896
133,-1.2896
134,-1.2896
135,-1.2896
136,-1.2896
137,-1.0007
138,-1.0007
139,-1.2896
140,-1.5716
141,-1.5716
142,-1.8605
143,-1.5716
144,-1.8605
145,-1.5716
146,-1.5716
147,-1.8605
148,-1.2896
149,-1.5716
150,-1.5716
151,-1.2896
152,-1.5716
153,-1.5716
154,-1.5716
155,-1.2896
156,-1.5716
157,-1.5716
158,-1.2896
159,-1.5716
160,-1.8605
161,-1.5716
162,-1.5716
163,-1.5716
164,-1.2896
165,-1.2896
166,-1.2896
167,-1.2896
168,-1.5716
169,-1.2896
170,-1.2896
171,-1.2896
172,-1.2896
173,-1.2896
174,-1.2896
175,-1.2896
176,-1.2896
177,-1.5716
178,-1.2896
179,-1.2896
180,-1.5716
181,-1.5716
182,-1.2896
183,-1.2896
184,-1.0007
185,-1.2896
186,-1.0007
187,-1.5716
188,-1.2896
189,-1.2896
190,-1.0007
191,-1.2896
192,-1.0007
193,-1.2896
194,-1.2896
195,-1.2896
196,-1.5716
197,-1.2896
198,-1.5716
199,-1.5716
200,-1.2896
201,-1.2896
202,-1.2896
203,-1.2896
204,-1.2896
205,-1.2896
206,-1.2896
207,-1.2896
208,-1.2896
209,-1.2896
210,-1.5716
211,-1.5716
212,-1.8605
213,-1.5716
214,-1.5716
215,-1.2896
216,-1.2896
217,-1.2896
218,-1.2896
219,-1.2896
220,-1.0007
221,-1.0007
222,-1.0007
223,-1.0007
224,-1.0007
225,-1.2896
226,-1.0007
227,-0.71178
228,-1.2896
229,-0.71178
230,-0.71178
231,-1.0007
232,-1.2896
233,-1.0007
234,-1.0007
235,-1.0007
236,-1.0007
237,-1.2896
238,-1.2896
239,-0.71178
240,-1.0007
241,-0.71178
242,-1.0007
243,-1.0007
244,-1.0007
245,-1.0007
246,-1.2896
247,-1.2896
248,-1.0007
249,-1.0007
250,-1.0007
251,-1.0007
252,-1.0007
253,-1.0007
254,-1.0007
255,-1.0007
256,-0.71178
257,-1.0007
258,-1.0007
259,-0.71178
260,-0.71178
261,-1.0007
262,-1.0007
263,-1.0007
264,-0.71178
265,-1.0007
266,-1.0007
267,-1.0007
268,-1.0007
269,-1.0007
270,-1.2896
271,-1.0007
272,-0.71178
273,-0.71178
274,-0.71178
275,-0.71178
276,-0.71178
277,-0.42975
278,-0.42975
279,-0.42975
280,-0.42975
281,-0.42975
282,-0.42975
283,-0.71178
284,-0.71178
285,-0.71178
286,-0.71178
287,-0.71178
288,-0.71178
289,-1.0007
290,-1.0007
291,-0.71178
292,-0.42975
293,-0.71178
294,-0.71178
295,-0.71178
296,-0.71178
297,-0.71178
298,-0.71178
299,-0.71178
300,-1.0007
301,-1.5716
302,-1.0007
303,-0.71178
304,-1.0007
305,-1.0007
306,-1.0007
307,-0.71178
308,-0.71178
309,-1.0007
310,-0.71178
311,-0.42975
312,-0.42975
313,-0.42975
314,-0.42975
