Time,PV,SP,OP,Error
1,-0.47375,-1.0239,0.031058,-0.49595
2,-0.43083,-1.0873,-0.21771,-0.64845
3,-0.64431,-1.1971,-0.42817,-0.42751
4,-0.41691,-1.3363,-0.80517,-0.9867
5,-0.33917,-1.5359,-1.1419,-1.3699
6,-0.40762,-1.7137,-1.6701,-1.4794
7,-0.42967,-1.9272,-2.2078,-1.7121
8,-1.6177,-2.0664,-2.3838,0.11406
9,-2.1526,-2.2876,-2.1369,0.73579
10,-2.1479,-2.3757,-1.9074,0.61652
11,-2.3022,-2.4175,-1.6796,0.82381
12,-2.2906,-2.4391,-1.4022,0.77687
13,-2.5099,-2.3463,-1.0807,1.2637
14,-2.5656,-2.1777,-0.69418,1.5707
15,-2.1618,-1.9612,-0.26554,1.164
16,-1.4959,-1.6766,-0.16028,0.40148
17,-1.1768,-1.4291,-0.064612,0.17665
18,-1.359,-1.2265,0.14585,0.73973
19,-1.1246,-1.0409,0.27789,0.5794
20,-0.87171,-0.92956,0.38508,0.29395
21,-0.50161,-0.87544,0.47689,-0.26133
22,-0.67331,-0.80119,0.39081,0.12189
23,-0.63619,-0.80273,0.38695,0.057381
24,-0.47608,-0.81201,0.34871,-0.22418
25,-0.4784,-0.8878,0.23006,-0.31607
26,-0.43199,-0.95432,0.096087,-0.47836
27,-0.3937,-1.1012,-0.12011,-0.72863
28,-0.76613,-1.3193,-0.40139,-0.37668
29,-0.55845,-1.5158,-0.7267,-0.97496
30,-0.25332,-1.7493,-1.2242,-1.7844
31,-0.28233,-1.938,-1.8117,-1.9741
32,-0.37746,-2.0478,-2.5101,-1.9525
33,-1.7569,-2.1128,-2.7818,0.29004
34,-2.4612,-2.1561,-2.4565,1.4221
35,-2.4565,-2.0602,-1.9934,1.5355
36,-2.6851,-1.9921,-1.4673,2.0067
37,-2.7593,-1.8792,-0.84149,2.2745
38,-1.7094,-1.6905,-0.28466,0.74364
39,-1.482,-1.5297,-0.14309,0.56375
40,-1.033,-1.4431,-0.12204,-0.083411
41,-1.2012,-1.2698,-0.087593,0.41909
42,-0.91463,-1.1415,-0.06081,0.098418
43,-1.1037,-1.0564,0.092284,0.52466
44,-1.084,-0.97905,0.21093,0.58919
45,-0.46332,-0.90482,0.24918,-0.363
46,-0.83458,-0.87388,0.18029,0.30177
47,-0.50393,-0.85841,0.12293,-0.23589
48,-0.54105,-0.90017,0.07509,-0.22612
49,-0.42503,-1.044,-0.14689,-0.60348
50,-0.42155,-1.1801,-0.32484,-0.7814
51,-0.50161,-1.3472,-0.6674,-0.85764
52,-0.37397,-1.5529,-1.0271,-1.3328
53,-0.37862,-1.7137,-1.5954,-1.5283
54,-0.32294,-1.8406,-2.0968,-1.7824
55,-0.77889,-1.9225,-2.6249,-1.1177
56,-2.1955,-2.0401,-2.5905,1.121
57,-2.2558,-2.0958,-2.29,1.1523
58,-2.4333,-2.0772,-1.8825,1.4749
59,-2.5215,-1.9999,-1.3926,1.7212
60,-2.5934,-1.8607,-0.79366,2.0184
61,-1.4182,-1.7292,-0.36887,0.20401
62,-1.4762,-1.5544,-0.25408,0.52269
63,-0.91,-1.3874,-0.2311,-0.22027
64,-1.1153,-1.2544,-0.18133,0.29393
65,-0.98425,-1.1399,-0.12204,0.21769
66,-0.96452,-1.0734,0.0272,0.26854
67,-0.82181,-1.0069,0.14585,0.1121
68,-0.64431,-0.91409,0.11907,-0.069709
69,-0.66171,-0.90792,-0.034027,-0.032584
70,-0.38907,-0.94966,-0.10291,-0.54481
71,-0.34846,-0.98215,-0.21198,-0.65431
72,-0.51205,-1.0997,-0.4129,-0.52722
73,-0.4726,-1.2157,-0.60424,-0.74034
74,-0.64199,-1.3827,-0.84149,-0.66605
75,-0.16399,-1.5204,-1.2721,-1.6456
76,-0.47724,-1.6844,-1.7504,-1.3249
77,-0.1199,-1.8158,-2.2384,-2.0933
78,-0.84387,-1.9535,-2.6728,-1.0473
79,-2.112,-2.0215,-2.4814,1.0037
80,-2.1456,-2.0555,-2.1485,1.0174
81,-2.3104,-2.0045,-1.7811,1.3595
82,-2.4821,-1.9195,-1.2893,1.7564
83,-2.2964,-1.8034,-0.83003,1.5902
84,-1.3648,-1.5745,-0.3287,0.30957
85,-1.4843,-1.3889,-0.22344,0.74558
86,-1.2708,-1.2668,-0.081862,0.54028
87,-0.97032,-1.1569,0.082695,0.17271
88,-0.91812,-1.061,0.090355,0.20595
89,-0.9622,-0.93731,0.14398,0.43666
90,-0.55845,-0.89708,0.18795,-0.19289
91,-0.62923,-0.85378,0.27596,-0.018882
92,-0.31249,-0.83367,0.29894,-0.52724
93,-0.34149,-0.83058,0.18222,-0.47445
94,-0.29161,-0.83677,0.032986,-0.56634
95,-0.39139,-0.83367,-0.070344,-0.39427
96,-0.5631,-0.95276,-0.27893,-0.25545
97,-0.45984,-1.1121,-0.47986,-0.63084
98,-0.54685,-1.3023,-0.74968,-0.7247
99,-0.29393,-1.5173,-1.1725,-1.4227
100,-0.33105,-1.7045,-1.6088,-1.5967
101,0.16319,-1.887,-2.2307,-2.6603
102,-1.3787,-2.0246,-2.7187,-0.23591
103,-2.0725,-2.1329,-2.4929,0.79643
104,-2.3811,-2.1576,-2.2231,1.2852
105,-2.5018,-2.1252,-1.8078,1.5296
106,-1.9658,-1.9581,-1.385,0.83747
107,-2.2558,-1.7926,-0.78026,1.5355
108,-0.97264,-1.556,-0.33636,-0.3278
109,-1.2824,-1.3271,-0.18899,0.4836
110,-1.5005,-1.1585,0.031058,1.0643
111,-0.84387,-0.98989,0.17649,0.17077
112,-0.99121,-0.83521,0.25304,0.6146
113,-0.84038,-0.7316,0.30468,0.4914
114,-0.2336,-0.69137,0.35444,-0.4803
115,-0.11177,-0.71766,0.23965,-0.71884
116,-0.31713,-0.6759,0.086553,-0.31998
117,-0.28,-0.68364,-0.095253,-0.39233
118,-0.15818,-0.69447,-0.27513,-0.61131
119,-0.14542,-0.73932,-0.45881,-0.68951
120,0.042533,-0.77025,-0.68459,-1.0453
121,-0.13034,-0.88161,-0.9085,-0.89479
122,-0.28929,-1.0781,-1.3773,-0.87525
123,-0.24752,-1.3023,-1.6892,-1.2291
124,-0.79977,-1.5204,-2.0413,-0.57416
125,-1.0573,-1.7818,-2.091,-0.47051
126,-1.7987,-1.972,-1.9934,0.53834
127,-1.7801,-2.0741,-1.8844,0.37801
128,-1.8938,-2.0973,-1.7581,0.54031
129,-1.8358,-2.0401,-1.5706,0.51487
130,-1.75,-1.9334,-1.3524,0.5051
131,-1.9704,-1.8127,-1.0998,1.0291
132,-2.0864,-1.6488,-0.74009,1.4318
133,-2.0284,-1.4616,-0.39758,1.5707
134,-0.75453,-1.3271,-0.19665,-0.40601
135,-0.98192,-1.1678,-0.06081,0.17859
136,-1.0098,-0.97286,-0.0091172,0.47187
137,-0.81137,-0.85378,0.082695,0.28807
138,-0.7,-0.77334,0.21474,0.20206
139,-0.86706,-0.7517,0.37356,0.51096
140,-0.55381,-0.73004,0.22047,0.010443
141,-0.48651,-0.80429,0.07509,-0.19682
142,-0.22663,-0.85378,-0.081862,-0.69734
143,0.088941,-0.95895,-0.44349,-1.3621
144,-0.020123,-1.1368,-0.68845,-1.4032
145,-0.10018,-1.2435,-1.0673,-1.4031
146,-0.41111,-1.4183,-1.4806,-1.1001
147,-0.16863,-1.573,-2.0355,-1.7042
148,-0.79514,-1.655,-2.5216,-0.75208
149,-1.7894,-1.7601,-2.4317,0.79055
150,-1.6142,-1.8297,-2.1924,0.40734
151,-1.8973,-1.8916,-1.9131,0.8062
152,-1.9971,-1.8591,-1.5667,1.0154
153,-2.1294,-1.7771,-1.1381,1.3419
154,-2.0284,-1.6534,-0.64635,1.3282
155,-1.2244,-1.5142,-0.30957,0.14927
156,-1.1513,-1.3889,-0.21005,0.18445
157,-0.80441,-1.2559,-0.16221,-0.232
158,-1.1977,-1.1244,-0.041687,0.59699
159,-1.2557,-1.0239,0.121,0.82184
160,-0.79629,-0.93265,0.071232,0.16295
161,-0.41343,-0.81976,0.04252,-0.33954
162,-0.6211,-0.77799,0.031058,0.063214
163,-0.44011,-0.73932,0.0023456,-0.19291
164,-0.80441,-0.77334,0.017666,0.37801
165,-0.12453,-0.70994,-0.047418,-0.68757
166,-0.19183,-0.795,-0.072273,-0.68169
167,-0.25449,-0.86306,-0.19092,-0.66213
168,-0.33338,-1.0022,-0.25408,-0.70514
169,-0.60137,-1.1415,-0.46074,-0.42948
170,-0.3357,-1.3054,-0.66167,-1.0844
171,-0.18719,-1.4369,-0.97926,-1.5009
172,-0.57353,-1.5328,-1.2931,-0.97105
173,-0.12685,-1.6039,-1.7313,-1.8137
174,-0.79165,-1.6534,-2.1312,-0.75599
175,-0.77309,-1.74,-2.5561,-0.89676
176,-1.7465,-1.7864,-2.4661,0.68496
177,-1.946,-1.8081,-2.1465,0.99388
178,-2.1247,-1.7648,-1.7198,1.3497
179,-2.3127,-1.6209,-1.2644,1.8483
180,-2.0052,-1.5235,-0.69799,1.4534
181,-1.3636,-1.3735,-0.16028,0.56181
182,-0.49348,-1.2466,-0.064612,-0.74425
183,-0.97264,-1.0533,0.098016,0.30763
