time,SP,PV,OP
2,37.01401308,35.844,25.764
4,37.01401308,35.688,25.662
6,37.01401308,35.5,25.547
8,37.01401308,35.375,25.459
10,37.01401308,35.656,25.581
12,37.01401308,35.125,25.288
14,37.01401308,35.688,25.544
16,37.01401308,35.625,25.491
18,37.01401308,35,25.146
20,37.01401308,35.156,25.192
22,37.01401308,35.375,25.273
24,37.01401308,35.469,25.296
26,37.01401308,35.438,25.253
28,37.01401308,35.063,25.035
30,37.01401308,35.75,25.351
32,37.01401308,35.406,25.154
34,37.01401308,35.75,25.299
36,37.01401308,36.031,25.422
38,37.01401308,35.969,25.371
40,37.01401308,35.906,25.321
42,37.01401308,35.969,25.335
44,37.01401308,36.469,25.574
46,37.01401308,36.656,25.658
48,37.01401308,36.938,25.796
50,37.01401308,36.969,25.813
52,37.01401308,37.5,26.082
54,37.01401308,37.75,26.216
56,37.01401308,37.719,26.212
58,37.01401308,37.75,26.24
60,37.01401308,38.531,26.651
62,37.01401308,37.875,26.339
64,37.01401308,38.469,26.662
66,37.01401308,38.875,26.894
68,37.01401308,39,26.985
70,37.01401308,38.781,26.906
72,37.01401308,39.625,27.364
74,37.01401308,39.188,27.184
76,37.01401308,39.156,27.2
78,37.01401308,38.938,27.128
80,37.01401308,39.688,27.544
82,37.01401308,38.531,26.996
84,37.01401308,38.875,27.198
86,37.01401308,38.719,27.147
88,37.01401308,38.625,27.124
90,37.01401308,38.406,27.04
92,37.01401308,37.781,26.745
94,37.01401308,37.75,26.741
96,37.01401308,37.688,26.72
98,37.01401308,37.5,26.639
100,37.01401308,37.125,26.455
102,37.01401308,37.375,26.583
104,37.01401308,36.906,26.349
106,37.01401308,36.938,26.362
108,37.01401308,37.156,26.469
110,37.01401308,36.406,26.087
112,37.01401308,36.531,26.141
114,37.01401308,36.531,26.137
116,37.01401308,36.406,26.065
118,37.01401308,36.25,25.975
120,37.01401308,36.531,26.106
122,37.01401308,36,25.824
124,37.01401308,35.656,25.633
126,37.01401308,35.938,25.753
128,37.01401308,35.531,25.525
130,37.01401308,35.125,25.296
132,37.01401308,35.188,25.297
134,37.01401308,35,25.169
136,37.01401308,35.188,25.232
138,37.01401308,34.5,24.852
140,37.01401308,34.625,24.876
142,37.01401308,34.875,24.964
144,37.01401308,35.281,25.139
146,37.01401308,34.875,24.899
148,37.01401308,35.344,25.102
150,37.01401308,35.375,25.081
152,37.01401308,35.781,25.258
154,37.01401308,36.375,25.539
156,37.01401308,35.969,25.321
158,37.01401308,36.156,25.405
160,37.01401308,36.438,25.542
162,37.01401308,37.438,26.045
164,37.01401308,37.219,25.945
166,37.01401308,38.156,26.424
168,37.01401308,38.688,26.712
170,37.01401308,39.5,27.157
172,37.01401308,39.219,27.055
174,37.01401308,39.75,27.368
176,37.01401308,40.656,27.881
178,37.01401308,40.938,28.083
180,37.01401308,41.031,28.194
182,37.01401308,41.531,28.521
184,37.01401308,41.281,28.47
186,37.01401308,41.75,28.784
188,37.01401308,41.5,28.731
190,37.01401308,41.438,28.772
192,37.01401308,40.125,28.174
194,37.01401308,40.656,28.503
196,37.01401308,40.219,28.339
198,37.01401308,39.781,28.17
200,37.01401308,39.688,28.17
202,37.01401308,39.656,28.197
204,37.01401308,39.688,28.26
206,37.01401308,39,27.951
208,37.01401308,39,27.983
210,37.01401308,38.063,27.538
212,37.01401308,38.625,27.846
