Time,SP,PV,OP
00:26:00,0,-0.49218,0.89177
00:26:00,0,-0.33228,0.8679
00:27:00,0,-0.18601,0.84371
00:27:00,0,-0.020872,0.8126
00:28:00,0,0.11408,0.78454
00:28:00,0,0.14446,0.77584
00:29:00,0,0.40494,0.71802
00:29:00,0,0.45073,0.70024
00:30:00,0,0.47641,0.68578
00:30:00,0,0.51801,0.66744
00:31:00,0,0.72734,0.61289
00:31:00,0,0.78462,0.58621
00:32:00,0,1.0458,0.51539
00:32:00,0,1.0202,0.4998
00:33:00,0,1.0281,0.47765
00:33:00,0,1.0896,0.44404
00:34:00,0,1.0303,0.43468
00:34:00,0,1.0724,0.4051
00:35:00,0,1.0188,0.39487
00:35:00,0,1.1842,0.33953
00:36:00,0,1.2424,0.30348
00:36:00,0,1.179,0.29189
00:37:00,0,1.2411,0.25512
00:37:00,0,1.2536,0.22755
00:38:00,0,1.3948,0.17262
00:38:00,0,1.4851,0.12557
00:39:00,0,1.4958,0.093511
00:39:00,0,1.4957,0.063498
00:40:00,0,1.5224,0.027852
00:40:00,0,1.4319,0.016372
00:41:00,0,1.461,-0.018523
00:41:00,0,1.4283,-0.040955
00:42:00,0,1.501,-0.084964
00:42:00,0,1.4742,-0.10946
00:43:00,0,1.6059,-0.16682
00:43:00,0,1.5676,-0.19099
00:44:00,0,1.6244,-0.23443
00:44:00,0,1.5682,-0.2552
00:45:00,0,1.4322,-0.258
00:45:00,0,1.4834,-0.29756
00:46:00,0,1.476,-0.32578
00:46:00,0,1.3884,-0.33697
00:47:00,0,1.4512,-0.37808
00:47:00,0,1.4932,-0.41609
00:48:00,0,1.4746,-0.44215
00:48:00,0,1.5876,-0.49558
00:49:00,0,1.5029,-0.50961
00:49:00,0,1.4425,-0.52704
00:50:00,0,1.4726,-0.56236
00:50:00,0,1.5196,-0.60186
00:51:00,0,1.4847,-0.625
00:51:00,0,1.481,-0.65404
00:52:00,0,1.4215,-0.67125
00:52:00,0,1.6051,-0.7385
00:53:00,0,1.7118,-0.79322
00:53:00,0,1.5315,-0.78957
00:54:00,0,1.6674,-0.84898
00:54:00,0,1.5494,-0.85758
00:55:00,0,1.52,-0.88248
00:55:00,0,1.5632,-0.92211
00:56:00,0,1.5273,-0.94594
00:56:00,0,1.6235,-0.99688
00:57:00,0,1.4851,-1.0004
00:57:00,0,1.1405,-0.95778
00:58:00,0,0.89749,-0.92962
00:58:00,0,0.70323,-0.90689
00:59:00,0,0.61638,-0.9029
00:59:00,0,0.45559,-0.88157
01:00:00,0,0.37729,-0.87442
01:00:00,0,0.24434,-0.85418
01:01:00,0,0.02191,-0.81241
01:01:00,0,-0.079613,-0.79168
01:02:00,0,-0.25836,-0.75264
01:02:00,0,-0.39967,-0.7179
01:03:00,0,-0.3789,-0.7145
01:03:00,0,-0.61498,-0.65736
01:04:00,0,-0.81428,-0.60324
01:04:00,0,-0.78496,-0.59333
01:05:00,0,-0.93673,-0.54582
01:05:00,0,-0.95096,-0.52427
01:06:00,0,-0.95249,-0.5051
01:06:00,0,-1.008,-0.47453
01:07:00,0,-1.0796,-0.43944
01:07:00,0,-1.1108,-0.41141
01:08:00,0,-1.0445,-0.40333
01:08:00,0,-1.1473,-0.36092
01:09:00,0,-1.1327,-0.34122
01:09:00,0,-1.2209,-0.30012
01:10:00,0,-1.1987,-0.28051
01:10:00,0,-1.2853,-0.23843
01:11:00,0,-1.2096,-0.22884
01:11:00,0,-1.2415,-0.19805
01:12:00,0,-1.1673,-0.18901
01:12:00,0,-1.2179,-0.15512
01:13:00,0,-1.215,-0.13152
01:13:00,0,-1.1877,-0.11312
01:14:00,0,-1.2358,-0.079343
01:14:00,0,-1.3268,-0.035573
01:15:00,0,-1.366,-0.00091159
01:15:00,0,-1.4531,0.044634
01:16:00,0,-1.586,0.10159
01:16:00,0,-1.5128,0.11775
01:17:00,0,-1.4429,0.13314
01:17:00,0,-1.4229,0.15765
01:18:00,0,-1.4524,0.19219
01:18:00,0,-1.4797,0.22687
01:19:00,0,-1.3877,0.23695
01:19:00,0,-1.3861,0.26423
01:20:00,0,-1.3004,0.27376
01:20:00,0,-1.3047,0.30055
01:21:00,0,-1.2627,0.31766
01:21:00,0,-1.4398,0.38013
01:22:00,0,-1.4689,0.41493
01:22:00,0,-1.3984,0.42933
01:23:00,0,-1.2969,0.43577
01:23:00,0,-1.4873,0.50172
01:24:00,0,-1.4757,0.52889
01:24:00,0,-1.3369,0.52901
01:25:00,0,-1.3801,0.56474
01:25:00,0,-1.4627,0.60963
01:26:00,0,-1.5705,0.66149
01:26:00,0,-1.5391,0.68615
01:27:00,0,-1.4892,0.70629
01:27:00,0,-1.4702,0.73196
01:28:00,0,-1.4871,0.76479
01:28:00,0,-1.483,0.79355
01:29:00,0,-1.4371,0.8134
01:29:00,0,-1.3896,0.83199
01:30:00,0,-1.5363,0.8906
01:30:00,0,-1.4684,0.90689
01:31:00,0,-1.5175,0.94648
01:31:00,0,-1.2711,0.92492
01:32:00,0,-1.1404,0.9228
01:32:00,0,-0.87079,0.8888
01:33:00,0,-0.66604,0.86305
01:33:00,0,-0.61169,0.86492
01:34:00,0,-0.50921,0.85555
01:34:00,0,-0.23547,0.80801
01:35:00,0,-0.074587,0.77879
01:35:00,0,-0.125,0.7909
01:36:00,0,0.062657,0.75382
01:36:00,0,0.2175,0.7199
01:37:00,0,0.25736,0.70712
01:37:00,0,0.2897,0.69511
01:38:00,0,0.45511,0.6544
01:38:00,0,0.47436,0.64119
01:39:00,0,0.64329,0.59602
01:39:00,0,0.71671,0.56761
01:40:00,0,0.66397,0.56433
01:40:00,0,0.83076,0.51581
01:41:00,0,0.82711,0.49988
01:41:00,0,0.86868,0.47449
01:42:00,0,1.0785,0.4128
01:42:00,0,1.0662,0.39373
01:43:00,0,1.0757,0.37031
01:43:00,0,1.1734,0.32809
01:44:00,0,1.2641,0.28541
01:44:00,0,1.1986,0.27382
01:45:00,0,1.1551,0.25892
01:45:00,0,1.1238,0.2423
01:46:00,0,1.2094,0.20167
01:46:00,0,1.2134,0.17653
01:47:00,0,1.2638,0.14153
01:47:00,0,1.3588,0.096111
01:48:00,0,1.4119,0.057629
01:48:00,0,1.3098,0.05081
01:49:00,0,1.2476,0.037599
01:49:00,0,1.3265,-0.0041032
01:50:00,0,1.3619,-0.038208
01:50:00,0,1.4092,-0.075535
01:51:00,0,1.4059,-0.10315
01:51:00,0,1.2705,-0.10283
01:52:00,0,1.2374,-0.12138
01:52:00,0,1.2407,-0.14695
01:53:00,0,1.2641,-0.17681
01:53:00,0,1.309,-0.21169
01:54:00,0,1.3285,-0.24209
01:54:00,0,1.3013,-0.26305
01:55:00,0,1.3464,-0.2987
01:55:00,0,1.3665,-0.32999
01:56:00,0,1.3548,-0.35498
01:56:00,0,1.3367,-0.37838
01:57:00,0,1.2562,-0.38827
01:57:00,0,1.3821,-0.44005
01:58:00,0,1.4727,-0.48691
01:58:00,0,1.4727,-0.5165
01:59:00,0,1.3711,-0.52464
01:59:00,0,1.4095,-0.56029
02:00:00,0,1.3124,-0.56814
02:00:00,0,1.3608,-0.60472
02:01:00,0,1.4022,-0.64077
02:01:00,0,1.4715,-0.68355
02:02:00,0,1.5256,-0.72451
02:02:00,0,1.5283,-0.75572
02:03:00,0,1.3914,-0.75754
02:03:00,0,1.4629,-0.80058
02:04:00,0,1.3631,-0.8089
02:04:00,0,1.3004,-0.82307
02:05:00,0,1.5417,-0.90009
02:05:00,0,1.4649,-0.91484
02:06:00,0,1.4027,-0.93116
02:06:00,0,1.4294,-0.96497
02:07:00,0,1.3634,-0.97977
02:07:00,0,1.2209,-0.97728
02:08:00,0,1.0165,-0.95888
02:08:00,0,0.83572,-0.94135
02:09:00,0,0.63126,-0.91522
02:09:00,0,0.50611,-0.90171
02:10:00,0,0.29506,-0.86758
02:10:00,0,0.2495,-0.86412
02:11:00,0,0.064322,-0.83031
02:11:00,0,-0.08924,-0.79946
02:12:00,0,-0.26489,-0.76087
02:12:00,0,-0.37526,-0.73253
02:13:00,0,-0.33097,-0.73457
02:13:00,0,-0.41517,-0.71041
02:14:00,0,-0.6834,-0.64575
02:14:00,0,-0.78262,-0.61136
02:15:00,0,-0.83666,-0.58449
02:15:00,0,-0.93406,-0.5474
02:16:00,0,-0.96465,-0.52245
02:16:00,0,-1.024,-0.49082
02:17:00,0,-0.95833,-0.48434
02:17:00,0,-1.044,-0.44726
02:18:00,0,-1.1589,-0.40233
02:18:00,0,-1.13,-0.38539
02:19:00,0,-1.2388,-0.34
02:19:00,0,-1.2125,-0.32093
02:20:00,0,-1.1135,-0.3177
02:20:00,0,-1.149,-0.28809
02:21:00,0,-1.1319,-0.26885
02:21:00,0,-1.1705,-0.23823
02:22:00,0,-1.244,-0.19946
02:22:00,0,-1.1778,-0.18867
02:23:00,0,-1.3528,-0.12835
02:23:00,0,-1.1308,-0.14823
02:24:00,0,-1.1955,-0.11211
02:24:00,0,-1.2043,-0.086486
02:25:00,0,-1.2905,-0.04435
02:25:00,0,-1.3965,0.0036739
02:26:00,0,-1.5149,0.056434
02:26:00,0,-1.3568,0.053275
02:27:00,0,-1.4673,0.10358
02:27:00,0,-1.4891,0.13739
02:28:00,0,-1.4607,0.16106
02:28:00,0,-1.511,0.20075
02:29:00,0,-1.4504,0.21807
02:29:00,0,-1.4256,0.24172
02:30:00,0,-1.4642,0.27825
02:30:00,0,-1.406,0.29514
02:31:00,0,-1.4803,0.33879
02:31:00,0,-1.4984,0.37209
02:32:00,0,-1.4042,0.38207
02:32:00,0,-1.3957,0.40823
02:33:00,0,-1.3723,0.43108
02:33:00,0,-1.296,0.44233
02:34:00,0,-1.3097,0.471
02:34:00,0,-1.3588,0.50742
02:35:00,0,-1.3593,0.53459
02:35:00,0,-1.3357,0.55668
02:36:00,0,-1.493,0.61643
02:36:00,0,-1.4773,0.64285
02:37:00,0,-1.5413,0.68577
02:37:00,0,-1.4521,0.69767
02:38:00,0,-1.373,0.70989
02:38:00,0,-1.3112,0.7242
02:39:00,0,-1.4181,0.77285
02:39:00,0,-1.4555,0.80897
02:40:00,0,-1.3582,0.81744
02:40:00,0,-1.3688,0.84671
02:41:00,0,-1.4153,0.88378
02:41:00,0,-1.4306,0.91517
02:42:00,0,-1.4153,0.94043
02:42:00,0,-1.1675,0.91654
02:43:00,0,-1.0453,0.91415
02:43:00,0,-0.93911,0.91268
02:44:00,0,-0.75889,0.89347
02:44:00,0,-0.58159,0.87127
02:45:00,0,-0.43514,0.85203
02:45:00,0,-0.24784,0.82123
02:46:00,0,0.04829,0.76374
02:46:00,0,0.18022,0.73494
02:47:00,0,0.13279,0.74132
02:47:00,0,0.21196,0.72195
02:48:00,0,0.19463,0.72133
02:48:00,0,0.28416,0.69852
02:49:00,0,0.51496,0.64413
02:49:00,0,0.71295,0.59203
02:50:00,0,0.90743,0.53671
02:50:00,0,0.82567,0.53573
02:51:00,0,0.91411,0.5005
02:51:00,0,0.8848,0.48832
02:52:00,0,1.0205,0.44193
02:52:00,0,1.1024,0.40417
02:53:00,0,1.0573,0.39153
02:53:00,0,0.90042,0.40337
02:54:00,0,0.97894,0.36871
02:54:00,0,0.95565,0.35394
02:55:00,0,0.96036,0.33374
02:55:00,0,1.0169,0.30251
02:56:00,0,0.98194,0.28943
02:56:00,0,1.1928,0.22522
02:57:00,0,1.191,0.20165
02:57:00,0,1.1563,0.18504
02:58:00,0,1.1918,0.15431
02:58:00,0,1.1103,0.14754
02:59:00,0,1.2605,0.093561
02:59:00,0,1.2259,0.075519
03:00:00,0,1.2823,0.03901
03:00:00,0,1.2788,0.013971
03:01:00,0,1.1796,0.009202
03:01:00,0,1.167,-0.011853
03:02:00,0,1.2388,-0.050447
03:02:00,0,1.3384,-0.096334
03:03:00,0,1.362,-0.1282
03:03:00,0,1.4071,-0.16508
03:04:00,0,1.3173,-0.1744
03:04:00,0,1.4345,-0.22558
03:05:00,0,1.5534,-0.27946
03:05:00,0,1.5545,-0.31088
03:06:00,0,1.3747,-0.30417
03:06:00,0,1.3983,-0.33677
03:07:00,0,1.4085,-0.367
03:07:00,0,1.3537,-0.38375
03:08:00,0,1.3514,-0.41045
03:08:00,0,1.3094,-0.42875
03:09:00,0,1.3469,-0.46297
03:09:00,0,1.3621,-0.49324
03:10:00,0,1.4158,-0.53192
03:10:00,0,1.4041,-0.5579
03:11:00,0,1.3908,-0.58329
03:11:00,0,1.4017,-0.61354
03:12:00,0,1.359,-0.63268
03:12:00,0,1.2359,-0.63403
03:13:00,0,1.3275,-0.67818
03:13:00,0,1.3209,-0.70347
03:14:00,0,1.3523,-0.73663
03:14:00,0,1.4187,-0.77779
03:15:00,0,1.358,-0.7935
03:15:00,0,1.2807,-0.80448
03:16:00,0,1.1709,-0.80707
03:16:00,0,1.1829,-0.83315
03:17:00,0,1.3407,-0.89019
03:17:00,0,1.358,-0.92079
03:18:00,0,1.4126,-0.95958
03:18:00,0,1.5105,-1.0086
03:19:00,0,1.2325,-0.98047
03:19:00,0,1.0849,-0.97427
03:20:00,0,1.0033,-0.97905
03:20:00,0,0.6854,-0.93234
03:21:00,0,0.45153,-0.89699
03:21:00,0,0.32199,-0.87895
03:22:00,0,0.22994,-0.86621
03:22:00,0,0.037132,-0.8304
03:23:00,0,-0.11375,-0.79956
03:23:00,0,-0.36901,-0.7437
03:24:00,0,-0.53007,-0.7026
03:24:00,0,-0.53866,-0.69041
03:25:00,0,-0.46807,-0.69473
03:25:00,0,-0.62097,-0.65333
03:26:00,0,-0.55123,-0.65581
03:26:00,0,-0.70467,-0.61263
