Time,SP,PV,OP
00:36:00,1.236193,1.253068,35.21299
00:36:00,1.235963,1.255291,34.80732
00:36:00,1.235212,1.257265,34.40557
00:37:00,1.234672,1.258806,34.00674
00:37:00,1.234109,1.260385,33.51178
00:37:00,1.233856,1.261983,32.77206
00:37:00,1.232892,1.260037,32.36615
00:37:00,1.231076,1.239492,32.71551
00:38:00,1.230185,1.2087,33.84139
00:38:00,1.229517,1.183226,35.26028
00:38:00,1.229401,1.167611,36.86478
00:38:00,1.229057,1.161936,38.12607
00:38:00,1.229889,1.163144,39.14457
00:39:00,1.230448,1.187129,39.23086
00:39:00,1.231218,1.213157,38.81353
00:39:00,1.231627,1.233242,38.29198
00:39:00,1.232759,1.240187,38.01428
00:39:00,1.233968,1.243745,37.79621
00:40:00,1.234621,1.245245,37.63104
00:40:00,1.23621,1.245099,37.52483
00:40:00,1.237068,1.240834,37.54484
00:40:00,1.237273,1.237027,37.65152
00:40:00,1.237582,1.233763,37.80727
00:41:00,1.238101,1.233182,37.91904
00:41:00,1.238408,1.232949,38.0213
00:41:00,1.239534,1.230722,38.24892
00:41:00,1.240024,1.227283,38.56323
00:41:00,1.241601,1.22267,39.02789
00:42:00,1.242403,1.218171,39.53769
00:42:00,1.242591,1.214987,40.05609
00:42:00,1.243478,1.224819,40.24158
00:42:00,1.243883,1.248312,39.58989
00:42:00,1.244462,1.263187,38.92063
00:43:00,1.245083,1.272584,38.2568
00:43:00,1.245408,1.278756,37.54751
00:43:00,1.244661,1.282994,36.53974
00:43:00,1.244448,1.28446,35.87846
00:43:00,1.244504,1.28761,35.13716
00:44:00,1.244663,1.291405,34.32128
00:44:00,1.244184,1.28875,33.67906
00:44:00,1.243924,1.255883,34.25407
00:44:00,1.245034,1.22677,35.34856
00:44:00,1.244636,1.214139,36.14988
00:45:00,1.244586,1.210787,36.72037
00:45:00,1.244596,1.211571,37.26185
00:45:00,1.246166,1.214701,37.95445
00:45:00,1.246272,1.215515,38.40958
00:45:00,1.246829,1.214483,38.89164
00:46:00,1.247957,1.211884,39.54544
00:46:00,1.24936,1.217433,40.00001
00:46:00,1.251045,1.242023,39.59035
00:46:00,1.253169,1.255652,39.2147
00:46:00,1.254377,1.258244,39.14349
00:47:00,1.255691,1.257344,39.13576
00:47:00,1.256519,1.258223,39.11201
00:47:00,1.256562,1.258401,39.06481
00:47:00,1.256988,1.256315,39.13131
00:48:00,1.256724,1.253295,39.25848
00:48:00,1.257243,1.248688,39.53006
00:48:00,1.256782,1.244186,39.84803
00:48:00,1.255831,1.242301,40.23494
00:48:00,1.256099,1.246291,40.3017
00:49:00,1.25609,1.251771,40.23571
00:49:00,1.256634,1.259983,39.96925
00:49:00,1.25704,1.268784,39.56915
00:49:00,1.257715,1.277183,39.03687
00:49:00,1.257815,1.284251,38.4441
00:50:00,1.258011,1.290233,37.84433
00:50:00,1.257956,1.295981,37.11088
00:50:00,1.257926,1.297451,36.06223
00:50:00,1.257871,1.292726,35.55928
00:50:00,1.257455,1.289599,35.13685
00:51:00,1.256239,1.289238,34.62365
00:51:00,1.254838,1.289589,34.00019
00:51:00,1.254234,1.282591,33.47447
00:51:00,1.253048,1.259312,33.94322
00:51:00,1.252439,1.23425,34.88315
00:52:00,1.251716,1.215894,35.90789
00:52:00,1.251383,1.203491,36.96143
00:52:00,1.251381,1.197311,38.02855
00:52:00,1.251536,1.195247,39.03513
00:52:00,1.252107,1.195594,39.96284
00:53:00,1.252993,1.213079,40.18702
00:53:00,1.253265,1.244355,39.55676
00:53:00,1.254731,1.263704,38.90488
00:53:00,1.256259,1.270141,38.54974
00:53:00,1.257407,1.27278,38.26321
00:54:00,1.258226,1.273479,38.03683
00:54:00,1.257825,1.273657,37.74774
00:54:00,1.258092,1.275395,37.26008
00:54:00,1.258994,1.278008,36.87605
00:55:00,1.25896,1.28221,36.38317
00:55:00,1.259885,1.286883,35.91013
00:55:00,1.26018,1.298345,34.67489
00:55:00,1.260633,1.307352,33.66661
00:55:00,1.260895,1.304623,33.11891
00:56:00,1.261222,1.280984,33.43671
00:56:00,1.261248,1.259429,34.03373
00:56:00,1.261346,1.245729,34.68518
00:56:00,1.260715,1.234876,35.37747
00:56:00,1.26074,1.226267,36.13123
00:57:00,1.260631,1.218877,36.95742
00:57:00,1.260639,1.212588,38.18027
00:57:00,1.260665,1.209967,39.38519
00:57:00,1.261322,1.217591,39.89848
00:58:00,1.261433,1.243853,39.48192
00:58:00,1.262265,1.263909,38.92697
00:58:00,1.262959,1.273347,38.53828
00:58:00,1.263205,1.275876,38.21629
00:58:00,1.263864,1.27506,38.03224
00:59:00,1.264779,1.27315,37.96218
00:59:00,1.265026,1.271355,37.92109
00:59:00,1.26563,1.270089,37.91461
00:59:00,1.266859,1.269206,37.89344
00:59:00,1.266662,1.269638,37.83009
01:00:00,1.267898,1.270829,37.79125
01:00:00,1.268698,1.271388,37.74847
01:00:00,1.270386,1.271912,37.76762
01:00:00,1.271707,1.272306,37.77894
01:00:00,1.273552,1.272627,37.80733
01:01:00,1.274073,1.272058,37.87197
01:01:00,1.275876,1.270822,38.05828
01:01:00,1.278649,1.268301,38.44268
01:01:00,1.279178,1.266292,38.70042
01:02:00,1.280668,1.264875,39.0201
01:02:00,1.28213,1.264423,39.48104
01:02:00,1.283084,1.264099,39.85181
01:02:00,1.284481,1.264096,40.20138
01:02:00,1.284989,1.264971,40.49434
01:03:00,1.286492,1.266931,40.78157
01:03:00,1.2869,1.280751,40.56318
01:03:00,1.289355,1.297938,39.99792
01:03:00,1.291317,1.307013,39.58551
01:03:00,1.291689,1.314441,39.01964
01:04:00,1.293017,1.320331,38.43917
01:04:00,1.294044,1.325027,37.82167
01:04:00,1.295794,1.330126,37.01208
01:04:00,1.29626,1.333921,36.25608
01:05:00,1.297846,1.33683,35.61208
01:05:00,1.29768,1.339801,34.89961
01:05:00,1.298028,1.342216,34.15754
01:05:00,1.298438,1.307813,34.66084
01:05:00,1.297947,1.27638,35.87047
01:06:00,1.297099,1.264903,36.6181
01:06:00,1.297874,1.258834,37.39547
01:06:00,1.298401,1.256618,38.15907
01:06:00,1.300507,1.253154,39.44517
01:06:00,1.301807,1.246407,40.4904
01:07:00,1.302715,1.261883,40.84712
01:07:00,1.303834,1.291042,40.33024
01:07:00,1.306589,1.32737,38.98838
01:07:00,1.307734,1.336758,38.2825
01:08:00,1.3088,1.340196,37.72895
01:08:00,1.309057,1.33988,37.19269
01:08:00,1.309999,1.336382,36.70101
01:08:00,1.310337,1.33271,36.46246
01:08:00,1.310656,1.329363,36.26865
01:09:00,1.310562,1.326314,36.09923
01:09:00,1.310359,1.320811,35.97432
01:09:00,1.309412,1.314351,36.03543
01:09:00,1.309457,1.307724,36.21869
01:10:00,1.309134,1.305116,36.34718
01:10:00,1.309184,1.303862,36.47488
01:10:00,1.309015,1.302668,36.58091
01:10:00,1.308861,1.300928,36.75964
01:10:00,1.308485,1.298404,36.98078
01:11:00,1.30826,1.295155,37.25581
01:11:00,1.310115,1.292428,37.64183
01:11:00,1.310507,1.290834,37.99545
01:11:00,1.310726,1.291025,38.34311
01:11:00,1.311384,1.29252,38.60225
01:11:00,1.311899,1.295065,38.8574
01:12:00,1.31215,1.29787,39.00385
01:12:00,1.314248,1.302916,39.10605
01:12:00,1.314667,1.317327,38.77681
01:12:00,1.315853,1.325918,38.40478
01:13:00,1.316781,1.334038,37.95184
01:13:00,1.317764,1.342348,37.32673
01:13:00,1.31889,1.348452,36.71738
01:13:00,1.318745,1.353463,35.85605
01:13:00,1.318308,1.355806,35.12128
01:14:00,1.318532,1.355865,34.59258
01:14:00,1.317887,1.347759,34.25972
01:14:00,1.317297,1.312952,35.15288
01:14:00,1.316755,1.28518,36.47167
01:15:00,1.316819,1.27393,37.42818
01:15:00,1.31597,1.265493,38.549
01:15:00,1.314907,1.260766,39.47704
01:15:00,1.314398,1.257317,40.65326
01:15:00,1.31369,1.269753,41.00859
01:16:00,1.313039,1.293033,40.69895
01:16:00,1.31337,1.307356,40.39246
01:16:00,1.313415,1.311982,40.28305
01:16:00,1.312545,1.310957,40.31543
01:16:00,1.311585,1.310541,40.31641
01:17:00,1.311224,1.313011,40.22968
01:17:00,1.310793,1.318126,39.96442
01:17:00,1.310647,1.326557,39.4203
01:17:00,1.310827,1.332538,38.9337
01:17:00,1.311427,1.338862,38.38547
01:18:00,1.310994,1.345825,37.66332
01:18:00,1.310034,1.355007,36.42275
01:18:00,1.310071,1.360862,35.4332
01:18:00,1.309494,1.361366,34.50697
01:18:00,1.309216,1.339412,34.57818
01:19:00,1.30776,1.302459,35.62024
01:19:00,1.305944,1.271546,37.00296
01:19:00,1.303471,1.251332,38.64364
01:19:00,1.302482,1.245262,39.73753
01:20:00,1.301402,1.242908,40.59613
01:20:00,1.299507,1.262024,40.88119
01:20:00,1.299543,1.283673,40.5382
01:20:00,1.299432,1.299761,40.11217
01:20:00,1.299274,1.305076,39.87259
01:21:00,1.298831,1.308021,39.63554
01:21:00,1.299203,1.308518,39.48371
01:21:00,1.298508,1.306809,39.39516
01:21:00,1.298116,1.308162,39.05355
01:21:00,1.297346,1.313266,38.6523
01:22:00,1.297288,1.317982,38.20326
01:22:00,1.296628,1.323691,37.48751
01:22:00,1.296547,1.328415,36.83435
01:22:00,1.295959,1.333197,35.97271
01:23:00,1.296044,1.336523,35.27512
01:23:00,1.295556,1.339332,34.52146
01:23:00,1.296073,1.330062,34.21165
01:23:00,1.294554,1.282476,35.49611
01:23:00,1.294278,1.268416,36.26516
