Time,SP,PV,OP
00:26:00,3.8,3.9105,46.0466
00:26:00,3.8,3.9107,45.7723
00:26:00,3.8,3.9088,45.5156
00:26:00,3.8,3.832,45.8592
00:27:00,3.8,3.7827,46.1839
00:27:00,3.8,3.7629,46.4055
00:27:00,3.8,3.7531,46.5958
00:27:00,3.8,3.7505,46.729
00:27:00,3.8,3.7489,46.8602
00:28:00,3.8,3.749,46.9942
00:28:00,3.8,3.7482,47.1791
00:28:00,3.8,3.7511,47.282
00:28:00,3.8,3.7533,47.3865
00:28:00,3.8,3.7547,47.4907
00:29:00,3.8,3.7554,47.6057
00:29:00,3.8,3.7555,47.7902
00:29:00,3.8,3.8371,47.2552
00:29:00,3.8,3.8924,46.7133
00:29:00,3.8,3.914,46.3343
00:30:00,3.8,3.9271,45.9508
00:30:00,3.8,3.8884,45.7514
00:30:00,3.8,3.8169,46.1274
00:30:00,3.8,3.7795,46.3877
00:30:00,3.8,3.7617,46.5855
00:31:00,3.8,3.7531,46.7486
00:31:00,3.8,3.7485,46.8967
00:31:00,3.8,3.7502,47.0547
00:31:00,3.8,3.7497,47.1816
00:31:00,3.8,3.7497,47.3165
00:32:00,3.8,3.7518,47.422
00:32:00,3.8,3.752,47.5599
00:32:00,3.8,3.7519,47.6853
00:32:00,3.8,3.7555,47.7621
00:32:00,3.8,3.8218,47.3681
00:33:00,3.8,3.8915,46.7338
00:33:00,3.8,3.921,46.1962
00:33:00,3.8,3.9291,45.8074
00:33:00,3.8,3.9158,45.5862
00:33:00,3.8,3.8368,45.9576
00:34:00,3.8,3.7912,46.234
00:34:00,3.8,3.772,46.4322
00:34:00,3.8,3.7655,46.555
00:34:00,3.8,3.7611,46.6772
00:34:00,3.8,3.7323,46.9908
00:35:00,3.8,3.7456,47.1032
00:35:00,3.8,3.8147,46.6869
00:35:00,3.8,3.8324,46.5051
00:35:00,3.8,3.8417,46.3576
00:35:00,3.8,3.8412,46.2606
00:36:00,3.8,3.8484,46.094
00:36:00,3.8,3.8426,45.9689
00:36:00,3.8,3.8464,45.8364
00:36:00,3.8,3.8435,45.7554
00:36:00,3.8,3.8471,45.6212
00:37:00,3.8,3.8422,45.5337
00:37:00,3.8,3.8451,45.3906
00:37:00,3.8,3.8381,45.3431
00:37:00,3.8,3.8366,45.2645
00:37:00,3.8,3.8306,45.2251
00:37:00,3.8,3.7885,45.4589
00:38:00,3.8,3.711,46.1869
00:38:00,3.8,3.6895,46.5804
00:38:00,3.8,3.6843,46.891
00:38:00,3.8,3.6784,47.1955
00:38:00,3.8,3.7299,47.1038
00:39:00,3.8,3.7868,46.8162
00:39:00,3.8,3.8136,46.6305
00:39:00,3.8,3.8231,46.5173
00:39:00,3.8,3.8253,46.4368
00:39:00,3.8,3.8279,46.3604
00:40:00,3.8,3.8283,46.2906
00:40:00,3.8,3.8253,46.2271
00:40:00,3.8,3.826,46.1583
00:40:00,3.8,3.8239,46.1191
00:40:00,3.8,3.8238,46.0581
00:41:00,3.8,3.8247,45.9869
00:41:00,3.8,3.8234,45.9243
00:41:00,3.8,3.8249,45.8527
00:41:00,3.8,3.8243,45.8053
00:41:00,3.8,3.8191,45.786
00:42:00,3.8,3.8217,45.7101
00:42:00,3.8,3.82,45.6641
00:42:00,3.8,3.7573,46.0983
00:42:00,3.8,3.7067,46.6097
00:42:00,3.8,3.6871,46.9954
00:43:00,3.8,3.7462,46.9764
00:43:00,3.8,3.8033,46.6442
00:43:00,3.8,3.8215,46.4807
00:43:00,3.8,3.8317,46.3478
00:43:00,3.8,3.8313,46.2714
00:44:00,3.8,3.838,46.1347
00:44:00,3.8,3.8342,46.0488
00:44:00,3.8,3.8359,45.9409
00:44:00,3.8,3.8345,45.8744
00:44:00,3.8,3.8373,45.7653
00:45:00,3.8,3.8403,45.6457
00:45:00,3.8,3.8424,45.4958
00:45:00,3.8,3.8447,45.3707
00:45:00,3.8,3.8465,45.2479
00:45:00,3.8,3.8454,45.1472
00:46:00,3.8,3.7983,45.3716
00:46:00,3.8,3.7279,45.9677
00:46:00,3.8,3.706,46.3232
00:46:00,3.8,3.7023,46.5825
00:46:00,3.8,3.6941,46.886
00:46:00,3.8,3.6959,47.1092
00:47:00,3.8,3.7406,47.0507
00:47:00,3.8,3.8087,46.6506
00:47:00,3.8,3.8405,46.3701
00:47:00,3.8,3.8493,46.1993
00:47:00,3.8,3.854,46.041
00:48:00,3.8,3.8562,45.8919
00:48:00,3.8,3.8644,45.6402
00:48:00,3.8,3.8686,45.4469
00:48:00,3.8,3.8671,45.2961
00:48:00,3.8,3.8636,45.1471
00:49:00,3.8,3.8649,44.9796
00:49:00,3.8,3.802,45.2085
00:49:00,3.8,3.7452,45.6666
00:49:00,3.8,3.7191,46.0132
00:49:00,3.8,3.7064,46.337
00:50:00,3.8,3.7007,46.6107
00:50:00,3.8,3.6987,46.8667
00:50:00,3.8,3.701,47.1372
00:50:00,3.8,3.7328,47.1324
00:50:00,3.8,3.8052,46.7157
00:51:00,3.8,3.8325,46.4785
00:51:00,3.8,3.8504,46.258
00:51:00,3.8,3.865,45.9737
00:51:00,3.8,3.8674,45.7985
00:51:00,3.8,3.8698,45.6119
00:52:00,3.8,3.8719,45.4224
00:52:00,3.8,3.8724,45.1612
00:52:00,3.8,3.8464,45.1693
00:52:00,3.8,3.7668,45.6995
00:52:00,3.8,3.7265,46.1183
00:53:00,3.8,3.7129,46.4108
00:53:00,3.8,3.7064,46.7377
00:53:00,3.8,3.7056,46.9752
00:53:00,3.8,3.7053,47.2102
00:53:00,3.8,3.708,47.3982
00:54:00,3.8,3.8131,46.793
00:54:00,3.8,3.8542,46.4179
00:54:00,3.8,3.872,46.0978
00:54:00,3.8,3.8779,45.8737
00:54:00,3.8,3.8787,45.6606
00:55:00,3.8,3.8798,45.4636
00:55:00,3.8,3.8784,45.2469
00:55:00,3.8,3.8391,45.3079
00:55:00,3.8,3.7625,45.8313
00:55:00,3.8,3.7285,46.2139
00:56:00,3.8,3.7127,46.5179
00:56:00,3.8,3.7088,46.7973
00:56:00,3.8,3.7099,47.0132
00:56:00,3.8,3.7073,47.2552
00:56:00,3.8,3.7626,47.0656
00:57:00,3.8,3.823,46.6706
00:57:00,3.8,3.8507,46.3717
00:57:00,3.8,3.8587,46.1801
00:57:00,3.8,3.8635,46.0004
00:57:00,3.8,3.8646,45.8339
00:57:00,3.8,3.865,45.66
00:58:00,3.8,3.8636,45.4577
00:58:00,3.8,3.8618,45.2458
00:58:00,3.8,3.8643,45.0884
00:58:00,3.8,3.8099,45.3155
00:59:00,3.8,3.7496,45.7801
00:59:00,3.8,3.7174,46.2292
00:59:00,3.8,3.7087,46.5038
00:59:00,3.8,3.7039,46.766
00:59:00,3.8,3.6991,47.0396
01:00:00,3.8,3.6964,47.3105
01:00:00,3.8,3.754,47.1567
01:00:00,3.8,3.8178,46.7543
01:00:00,3.8,3.8508,46.4274
01:00:00,3.8,3.8592,46.2495
01:01:00,3.8,3.8644,46.0392
01:01:00,3.8,3.8663,45.8677
01:01:00,3.8,3.8671,45.6993
01:01:00,3.8,3.8646,45.5556
01:01:00,3.8,3.8654,45.3787
01:01:00,3.8,3.8639,45.2332
01:02:00,3.8,3.8005,45.5441
01:02:00,3.8,3.7425,46.0126
01:02:00,3.8,3.7191,46.3272
01:02:00,3.8,3.7056,46.6364
01:02:00,3.8,3.6995,46.9173
01:03:00,3.8,3.6979,47.1752
01:03:00,3.8,3.7018,47.4602
01:03:00,3.8,3.7853,47.0352
01:03:00,3.8,3.8298,46.7142
01:03:00,3.8,3.8517,46.465
01:04:00,3.8,3.8614,46.2467
01:04:00,3.8,3.8663,46.0006
01:04:00,3.8,3.8658,45.8415
01:04:00,3.8,3.8679,45.6519
01:04:00,3.8,3.8678,45.4732
01:05:00,3.8,3.8649,45.3465
