time,SP,PV,OP
1,50.08414598,47.7411,58.6746
4,50.08414598,47.5946,58.5524
5,50.08414598,47.5702,58.5242
7,50.08414598,47.5214,58.467
8,50.08414598,47.5214,58.467
10,50.08414598,47.4969,58.4151
12,50.08414598,47.4481,58.3565
13,50.08414598,47.4481,58.3565
14,50.08414598,47.3993,58.2971
16,50.08414598,47.3748,58.2432
17,50.08414598,47.3748,58.2432
18,50.08414598,47.3504,58.2129
20,50.08414598,47.326,58.1581
21,50.08414598,47.3016,58.1027
22,50.08414598,47.3016,58.1027
24,50.08414598,47.2772,58.047
25,50.08414598,47.2772,57.997
26,50.08414598,47.2772,57.997
29,50.08414598,47.2527,57.9659
30,50.08414598,47.2283,57.9093
31,50.08414598,47.2283,57.8585
33,50.08414598,47.2283,57.8585
34,50.08414598,47.1795,57.795
35,50.08414598,47.2039,57.7497
37,50.08414598,47.2039,57.7497
38,50.08414598,47.1795,57.6918
39,50.08414598,47.1795,57.666
41,50.08414598,47.1795,57.666
42,50.08414598,47.1551,57.6078
43,50.08414598,47.1306,57.5494
45,50.08414598,47.1551,57.503
46,50.08414598,47.1551,57.503
47,50.08414598,47.1551,57.4507
50,50.08414598,47.1551,57.4246
51,50.08414598,47.1551,57.4246
52,50.08414598,47.1551,57.3722
54,50.08414598,47.1306,57.3138
55,50.08414598,47.1306,57.3138
56,50.08414598,47.1551,57.2674
58,50.08414598,47.1551,57.215
59,50.08414598,47.1795,57.1693
60,50.08414598,47.1795,57.1693
62,50.08414598,47.2039,57.1497
63,50.08414598,47.2283,57.1049
64,50.08414598,47.2283,57.1049
67,50.08414598,47.2772,57.0667
68,50.08414598,47.3016,57.023
69,50.08414598,47.326,56.9802
71,50.08414598,47.326,56.9802
72,50.08414598,47.3748,56.9681
73,50.08414598,47.3993,56.9264
75,50.08414598,47.3993,56.9264
76,50.08414598,47.4481,56.8914
77,50.08414598,47.4725,56.8511
79,50.08414598,47.4725,56.8511
80,50.08414598,47.4969,56.8112
81,50.08414598,47.5702,56.7842
83,50.08414598,47.5702,56.7619
84,50.08414598,47.5702,56.7619
85,50.08414598,47.619,56.73
88,50.08414598,47.6923,56.7052
89,50.08414598,47.6923,56.7052
90,50.08414598,47.7411,56.6758
92,50.08414598,47.8144,56.6535
93,50.08414598,47.8144,56.6535
94,50.08414598,47.8388,56.6397
96,50.08414598,47.9121,56.6189
97,50.08414598,47.9365,56.5869
98,50.08414598,47.9365,56.5869
100,50.08414598,48.0098,56.5681
101,50.08414598,48.1074,56.5567
102,50.08414598,48.1074,56.5567
105,50.08414598,48.1563,56.5347
106,50.08414598,48.2295,56.5364
107,50.08414598,48.2784,56.5164
109,50.08414598,48.2784,56.5164
110,50.08414598,48.3517,56.504
111,50.08414598,48.4493,56.4991
113,50.08414598,48.4493,56.4991
114,50.08414598,48.5226,56.4895
115,50.08414598,48.5714,56.4884
117,50.08414598,48.5714,56.4884
118,50.08414598,48.6447,56.4811
119,50.08414598,48.7179,56.4753
121,50.08414598,48.8156,56.4771
122,50.08414598,48.8156,56.4771
123,50.08414598,48.8889,56.4743
126,50.08414598,48.9866,56.4795
127,50.08414598,48.9866,56.4795
128,50.08414598,49.0354,56.4826
130,50.08414598,49.1087,56.484
131,50.08414598,49.1087,56.484
132,50.08414598,49.1819,56.4866
133,50.08414598,49.2552,56.4904
135,50.08414598,49.3284,56.4959
136,50.08414598,49.3284,56.4959
137,50.08414598,49.3773,56.5022
139,50.08414598,49.475,56.5161
140,50.08414598,49.475,56.5161
142,50.08414598,49.5727,56.5317
144,50.08414598,49.6459,56.5428
145,50.08414598,49.6459,56.5428
146,50.08414598,49.7192,56.5554
148,50.08414598,49.8168,56.5756
149,50.08414598,49.8413,56.5801
151,50.08414598,49.8413,56.5801
152,50.08414598,49.9389,56.6025
153,50.08414598,50.0366,56.6267
155,50.08414598,50.0366,56.6267
156,50.08414598,50.1099,56.6462
157,50.08414598,50.2076,56.6736
159,50.08414598,50.2564,56.6879
160,50.08414598,50.2564,56.6879
161,50.08414598,50.3541,56.7179
164,50.08414598,50.4518,56.7497
165,50.08414598,50.4518,56.7497
166,50.08414598,50.525,56.7769
168,50.08414598,50.5983,56.8054
169,50.08414598,50.5983,56.8054
170,50.08414598,50.696,56.8417
172,50.08414598,50.7204,56.8543
173,50.08414598,50.7937,56.8866
174,50.08414598,50.7937,56.8866
176,50.08414598,50.9158,56.9327
177,50.08414598,50.989,56.9683
178,50.08414598,50.989,56.9683
180,50.08414598,51.0623,57.0053
182,50.08414598,51.1111,57.0275
183,50.08414598,51.1111,57.0275
185,50.08414598,51.1844,57.067
186,50.08414598,51.2821,57.114
187,50.08414598,51.3553,57.1566
189,50.08414598,51.3553,57.1566
190,50.08414598,51.453,57.207
191,50.08414598,51.5507,57.2589
