Time,SP,PV,OP
1,3.1,2.49,7.41
2,3.1,2.55,7.72
3,3.1,2.62,8.08
4,3.1,2.68,8.48
5,3.1,2.76,8.89
6,3.1,2.88,9.71
7,3.1,3.02,10.63
8,3.1,3.18,11.68
9,3.1,3.3,12.53
10,3.1,3.44,13.51
11,3.1,3.52,14.1
12,3.1,3.59,14.65
13,3.1,3.67,15.26
14,3.1,3.69,15.48
15,3.1,3.73,15.84
16,3.1,3.7,15.75
17,3.1,3.65,15.54
18,3.1,3.55,14.92
19,3.1,3.4,13.98
20,3.1,3.24,12.94
21,3.1,3.11,12.05
22,3.1,2.98,11.18
23,3.1,2.87,10.39
24,3.1,2.78,9.74
25,3.1,2.7,9.13
26,3.1,2.62,8.55
27,3.1,2.58,8.22
28,3.1,2.52,7.7
29,3.1,2.49,7.41
30,3.1,2.47,7.17
31,3.1,2.49,7.23
32,3.1,2.53,7.37
33,3.1,2.61,7.84
34,3.1,2.71,8.43
35,3.1,2.84,9.29
36,3.1,2.98,10.18
37,3.1,3.12,11.15
38,3.1,3.25,12
39,3.1,3.4,13.04
40,3.1,3.5,13.79
41,3.1,3.58,14.42
42,3.1,3.66,15.05
43,3.1,3.73,15.57
44,3.1,3.75,15.84
45,3.1,3.75,15.94
46,3.1,3.72,15.84
47,3.1,3.6,15.13
48,3.1,3.49,14.44
49,3.1,3.32,13.32
50,3.1,3.17,12.32
51,3.1,3.01,11.25
52,3.1,2.86,10.21
53,3.1,2.74,9.36
54,3.1,2.65,8.73
55,3.1,2.6,8.26
56,3.1,2.56,7.92
57,3.1,2.56,7.84
58,3.1,2.52,7.49
59,3.1,2.51,7.32
60,3.1,2.53,7.39
61,3.1,2.58,7.63
62,3.1,2.68,8.26
63,3.1,2.78,8.86
64,3.1,2.89,9.54
65,3.1,3.01,10.37
66,3.1,3.16,11.37
67,3.1,3.28,12.18
68,3.1,3.39,12.96
69,3.1,3.52,13.89
70,3.1,3.58,14.37
71,3.1,3.63,14.75
72,3.1,3.68,15.22
73,3.1,3.73,15.61
74,3.1,3.74,15.81
75,3.1,3.72,15.77
76,3.1,3.56,14.79
77,3.1,3.43,13.94
78,3.1,3.26,12.88
79,3.1,3.14,12.05
80,3.1,3,11.11
81,3.1,2.87,10.21
82,3.1,2.75,9.34
83,3.1,2.69,8.85
84,3.1,2.62,8.33
85,3.1,2.58,7.98
86,3.1,2.54,7.63
87,3.1,2.5,7.27
88,3.1,2.5,7.15
89,3.1,2.52,7.24
90,3.1,2.56,7.4
91,3.1,2.65,7.94
92,3.1,2.74,8.46
93,3.1,2.84,9.12
94,3.1,2.94,9.76
95,3.1,3.1,10.82
96,3.1,3.22,11.65
97,3.1,3.36,12.59
98,3.1,3.45,13.26
99,3.1,3.52,13.8
100,3.1,3.56,14.13
101,3.1,3.6,14.5
102,3.1,3.65,14.9
103,3.1,3.67,15.11
104,3.1,3.66,15.15
105,3.1,3.56,14.55
106,3.1,3.46,13.95
107,3.1,3.32,13.04
108,3.1,3.19,12.22
109,3.1,3.06,11.32
110,3.1,2.94,10.48
111,3.1,2.82,9.66
112,3.1,2.74,9.06
113,3.1,2.69,8.63
114,3.1,2.63,8.21
115,3.1,2.57,7.73
116,3.1,2.52,7.29
117,3.1,2.49,6.95
118,3.1,2.5,6.95
119,3.1,2.55,7.21
120,3.1,2.61,7.53
121,3.1,2.71,8.11
122,3.1,2.83,8.88
123,3.1,2.96,9.75
124,3.1,3.1,10.66
125,3.1,3.23,11.55
126,3.1,3.33,12.23
127,3.1,3.43,12.99
128,3.1,3.53,13.73
129,3.1,3.58,14.1
130,3.1,3.68,14.9
131,3.1,3.73,15.3
132,3.1,3.74,15.5
133,3.1,3.72,15.47
134,3.1,3.63,14.92
135,3.1,3.5,14.14
136,3.1,3.35,13.16
137,3.1,3.22,12.3
138,3.1,3.07,11.28
139,3.1,2.93,10.34
140,3.1,2.82,9.59
141,3.1,2.73,8.91
142,3.1,2.64,8.22
143,3.1,2.59,7.81
144,3.1,2.52,7.25
145,3.1,2.5,7.01
146,3.1,2.44,6.56
147,3.1,2.45,6.53
148,3.1,2.51,6.83
149,3.1,2.58,7.17
150,3.1,2.67,7.7
151,3.1,2.77,8.32
152,3.1,2.94,9.46
153,3.1,3.12,10.65
154,3.1,3.26,11.6
155,3.1,3.38,12.46
156,3.1,3.49,13.27
157,3.1,3.6,14.07
158,3.1,3.65,14.51
159,3.1,3.68,14.79
160,3.1,3.69,14.9
161,3.1,3.69,15.05
162,3.1,3.69,15.14
163,3.1,3.62,14.71
164,3.1,3.5,14.01
165,3.1,3.34,12.97
166,3.1,3.18,11.89
167,3.1,3.03,10.92
168,3.1,2.91,10.06
169,3.1,2.79,9.23
170,3.1,2.68,8.45
171,3.1,2.62,7.95
172,3.1,2.57,7.5
173,3.1,2.52,7.08
174,3.1,2.47,6.67
175,3.1,2.45,6.46
176,3.1,2.45,6.36
177,3.1,2.52,6.69
178,3.1,2.57,6.97
