Time,SP,PV,OP
15:20:00,0.34318,0.30783,0.90041
15:20:10,0.34318,0.23114,0.94869
15:20:20,0.34318,0.24423,0.99165
15:20:30,0.34318,0.35221,1.0035
15:20:40,0.34318,0.49068,0.97872
15:20:50,0.34318,0.59541,0.92974
15:21:00,0.34318,0.6064,0.87959
15:21:10,0.34318,0.50302,0.85806
15:21:20,0.34318,0.35491,0.8767
15:21:30,0.34318,0.23833,0.92483
15:21:40,0.34318,0.20697,0.97889
15:21:50,0.34318,0.30371,1.0072
15:22:00,0.34318,0.44929,0.99497
15:22:10,0.34318,0.57244,0.9515
15:22:20,0.34318,0.62218,0.89659
15:22:30,0.34318,0.55702,0.86153
15:22:40,0.34318,0.41088,0.86745
15:22:50,0.34318,0.26553,0.90858
15:23:00,0.34318,0.20601,0.96374
15:23:10,0.34318,0.26829,1.0009
15:23:20,0.34318,0.40367,1.0001
15:23:30,0.34318,0.52974,0.9659
15:23:40,0.34318,0.60615,0.9145
15:23:50,0.34318,0.58023,0.87229
15:24:00,0.34318,0.44059,0.86641
15:24:10,0.34318,0.29259,0.90013
15:24:20,0.34318,0.22538,0.95198
15:24:30,0.34318,0.27323,0.98694
15:24:40,0.34318,0.39677,0.98615
15:24:50,0.34318,0.51674,0.95545
15:25:00,0.34318,0.58688,0.90943
15:25:10,0.34318,0.56363,0.87086
15:25:20,0.34318,0.44499,0.86468
15:25:30,0.34318,0.30156,0.89628
15:25:40,0.34318,0.22073,0.94847
15:25:50,0.34318,0.25881,0.98811
15:26:00,0.34318,0.38096,0.99216
15:26:10,0.34318,0.51062,0.96339
15:26:20,0.34318,0.58852,0.917
15:26:30,0.34318,0.57698,0.8749
15:26:40,0.34318,0.47041,0.86328
15:26:50,0.34318,0.32451,0.89032
15:27:00,0.34318,0.22477,0.94213
15:27:10,0.34318,0.25019,0.98634
15:27:20,0.34318,0.36648,0.99624
15:27:30,0.34318,0.49683,0.97133
15:27:40,0.34318,0.58659,0.9255
15:27:50,0.34318,0.59385,0.87944
15:28:00,0.34318,0.49539,0.86168
15:28:10,0.34318,0.33735,0.88423
15:28:20,0.34318,0.22695,0.93477
15:28:30,0.34318,0.2292,0.98336
15:28:40,0.34318,0.33632,1.0013
15:28:50,0.34318,0.46368,0.98357
15:29:00,0.34318,0.56113,0.943
15:29:10,0.34318,0.5913,0.897
15:29:20,0.34318,0.50812,0.87222
15:29:30,0.34318,0.36715,0.88629
15:29:40,0.34318,0.24785,0.93136
15:29:50,0.34318,0.22356,0.98124
15:30:00,0.34318,0.31106,1.0046
15:30:10,0.34318,0.44575,0.99101
