Time,SP,PV,OP,Error
1,-1.0211,-1.1641,-0.78705,0.48255
2,-0.97632,-1.2899,-0.59479,1.1326
3,-0.75605,-0.6258,-1.2158,-0.539
4,-0.97632,-0.8058,-1.1318,-0.70484
5,-1.8127,-1.753,-1.239,-0.33336
6,-1.1966,-0.89318,-1.5384,-1.2222
7,-1.7679,-1.5922,-1.5196,-0.77117
8,-1.8557,-1.8316,-1.4964,-0.20069
9,-1.8557,-1.8072,-1.5616,-0.29356
10,-1.5046,-1.3021,-1.7108,-0.85741
11,-2.427,-2.5202,-1.5384,0.21058
12,-1.9004,-1.9382,-1.734,0.031478
13,-1.2396,-1.4594,-1.239,0.76116
14,-1.5476,-1.552,-1.5616,-0.074658
15,-1.1966,-1.3371,-1.2809,0.46265
16,-1.1518,-0.94211,-1.5384,-0.86404
17,-0.58052,-0.49997,-1.1738,-0.34
18,-0.71303,-0.8058,-0.76716,0.31008
19,-1.3721,-1.0942,-1.4964,-1.136
20,-1.1088,-1.2724,-0.91743,0.55552
21,-1.4169,-1.2881,-1.3693,-0.57217
22,-1.7679,-1.4454,-1.734,-1.3284
23,-1.6354,-1.9365,-1.0478,1.0464
24,-1.3721,-1.3511,-1.3892,-0.16089
25,-1.5046,-1.594,-1.1086,0.25038
26,-2.2085,-1.9417,-1.8411,-1.1426
27,-2.0759,-2.2983,-1.4312,0.72136
28,-1.9434,-1.9889,-1.6268,0.058011
29,-1.8557,-1.5835,-2.0334,-1.1426
30,-2.5595,-2.6233,-1.7539,0.091179
31,-2.0312,-2.4922,-1.3693,1.6301
32,-1.3721,-1.538,-1.5616,0.54889
33,-1.5046,-1.7705,-1.2622,0.92036
34,-0.71303,-0.6258,-1.2809,-0.37316
35,-1.1518,-1.4227,-0.85224,0.96016
36,-1.1088,-1.1256,-1.197,-0.0016898
37,-1.4599,-1.1326,-1.6688,-1.3284
38,-1.0211,-0.78308,-1.3892,-0.96354
39,-1.2844,-1.1274,-1.3041,-0.67167
40,-1.2844,-1.5852,-0.85224,1.0663
41,-1.1966,-1.5066,-0.83235,1.1061
42,-1.1966,-1.0732,-1.3461,-0.539
43,-1.9004,-1.4874,-2.0754,-1.68
44,-1.5924,-1.8928,-1.155,1.0464
45,-1.4599,-1.6079,-1.324,0.47592
46,-1.4599,-1.365,-1.5196,-0.44613
47,-2.1637,-2.0588,-1.734,-0.52573
48,-2.3392,-2.307,-1.903,-0.2604
49,-1.2396,-1.5695,-1.3041,1.1791
50,-0.88855,-1.0382,-1.2809,0.51572
51,-0.80079,-1.0155,-1.0246,0.76779
52,-0.75605,-0.55414,-1.3693,-0.81097
53,-0.84381,-0.78308,-1.1738,-0.2803
54,-1.5476,-1.2742,-1.5616,-1.1294
55,-1.3721,-1.5957,-1.0666,0.76779
56,-1.3721,-0.97532,-1.7958,-1.5871
57,-1.1088,-0.81628,-1.6036,-1.1758
58,-0.97632,-1.213,-0.95941,0.84076
59,-1.2844,-1.3039,-1.2158,-0.0016898
60,-1.1518,-0.89667,-1.5384,-1.0365
61,-2.1207,-1.7233,-2.0754,-1.6335
62,-1.8557,-1.8264,-1.819,-0.22059
63,-1.8127,-1.4979,-2.0566,-1.3019
64,-2.1637,-2.113,-1.903,-0.3201
65,-2.2515,-2.2021,-2.0334,-0.3201
66,-2.2515,-2.2336,-2.0754,-0.20069
67,-1.2844,-1.4786,-1.6268,0.66166
68,-0.31723,-0.63628,-1.0246,1.1923
69,-0.84381,-1.005,-0.89422,0.56216
70,-0.88855,-0.93687,-1.0898,0.13098
71,-0.75605,-0.43705,-1.4124,-1.2554
72,-0.75605,-0.97706,-0.80914,0.79433
73,-1.1966,-1.3039,-0.98262,0.33662
74,-1.1518,-1.4349,-0.89422,1.0066
75,-0.9333,-0.9526,-1.197,0.018211
76,-1.0641,-1.199,-0.95941,0.44939
77,-1.1518,-0.93687,-1.4124,-0.88394
78,-1.3291,-1.4087,-1.1738,0.22385
79,-0.97632,-0.79706,-1.3892,-0.73801
80,-1.7249,-1.6569,-1.3892,-0.3599
81,-2.1207,-2.1462,-1.5804,-0.028224
82,-2.1207,-2.2371,-1.6036,0.31672
83,-1.9882,-1.9942,-1.6887,-0.094559
84,-1.8127,-1.8159,-1.6456,-0.094559
85,-1.5476,-1.5153,-1.6688,-0.21396
86,-1.7679,-2.099,-1.1086,1.1525
87,-1.1088,-1.0767,-1.3892,-0.18743
88,-0.66828,-0.71842,-0.98262,0.15088
89,-0.80079,-0.95959,-0.72517,0.55552
90,-0.66828,-1.0767,-0.33734,1.5107
91,-0.80079,-0.81104,-0.83235,-0.0083233
92,-1.3291,-0.81978,-1.6268,-2.0116
93,-1.3721,-1.2305,-1.3461,-0.6186
94,-1.1518,-1.1046,-1.2158,-0.24713
95,-0.62526,-0.8792,-0.63678,0.927
96,-0.84381,-0.64677,-1.1086,-0.79771
97,-1.1966,-1.1903,-1.0666,-0.094559
98,-0.62526,-0.96833,-0.51082,1.2653
99,-1.1966,-1.5625,-0.5528,1.3184
100,-1.7249,-1.6901,-1.2622,-0.23386
101,-1.5476,-1.386,-1.5384,-0.70484
102,-1.7679,-1.7914,-1.4544,-0.014957
103,-1.3291,-1.8089,-0.80914,1.7429
104,-0.36025,-0.74638,-0.51082,1.4444
105,-0.36025,-0.29725,-0.83235,-0.2604
106,-0.75605,-0.66075,-0.85224,-0.40633
107,-1.1088,-0.66599,-1.3693,-1.7463
108,-0.5375,-0.54715,-0.85224,0.0049436
109,-1.2396,-1.1116,-1.1086,-0.5589
110,-0.62526,-0.30424,-1.239,-1.2554
111,-1.1966,-1.1693,-1.0666,-0.17416
112,-0.88855,-1.1343,-0.65998,0.88056
113,-1.1966,-1.0575,-1.0666,-0.5987
