Time,SP,PV,OP
1,0,0.21495,0.38248
2,0,0.17271,0.35713
3,0,0.11919,0.32535
4,0,0.12738,0.33793
5,0,0.081976,0.3107
6,0,-0.034123,0.22022
7,0,-0.15946,0.10548
8,0,-0.24664,0.00021631
9,0,-0.31262,-0.1057
10,0,-0.42752,-0.25571
11,0,-0.46244,-0.35022
12,0,-0.39256,-0.37037
13,0,-0.29511,-0.36047
14,0,-0.18374,-0.32834
15,0,-0.10157,-0.30748
16,0,0.015317,-0.24189
17,0,0.15103,-0.14545
18,0,0.22899,-0.072414
19,0,0.31367,0.024322
20,0,0.41868,0.14256
21,0,0.51007,0.2637
22,0,0.53578,0.34681
23,0,0.50438,0.38517
24,0,0.4744,0.42181
25,0,0.45565,0.46431
26,0,0.40096,0.46954
27,0,0.302,0.42989
28,0,0.1964,0.38351
29,0,0.076216,0.3072
30,0,-0.061125,0.19571
31,0,-0.099034,0.14967
32,0,-0.067211,0.14475
33,0,-0.090075,0.10279
34,0,-0.090722,0.084831
35,0,-0.038446,0.10384
36,0,0.0070198,0.12144
37,0,0.034712,0.13085
38,0,0.043542,0.12814
39,0,0.049996,0.12721
40,0,0.039858,0.11441
41,0,0.020008,0.093146
42,0,0.0054908,0.073788
43,0,-0.011017,0.045685
44,0,-0.0253,0.024527
45,0,-0.053234,-0.0079894
46,0,-0.093211,-0.055648
47,0,-0.072387,-0.058616
48,0,-0.018056,-0.037641
49,0,-0.044119,-0.071882
50,0,-0.05703,-0.10174
51,0,-0.026801,-0.10027
52,0,0.01452,-0.088969
53,0,0.072321,-0.05955
54,0,0.13193,-0.01537
55,0,0.17903,0.026123
56,0,0.17006,0.02967
57,0,0.10565,-0.012294
58,0,0.052228,-0.053015
59,0,0.01088,-0.086507
60,0,-0.0074198,-0.109
61,0,0.039958,-0.08637
62,0,0.063206,-0.076957
63,0,0.063953,-0.0812
64,0,0.093848,-0.063547
65,0,0.12178,-0.04172
66,0,0.14076,-0.019892
67,0,0.15839,0.0019351
68,0,0.20551,0.048345
69,0,0.22448,0.081469
70,0,0.26898,0.13862
71,0,0.31372,0.20101
72,0,0.3024,0.22361
73,0,0.29344,0.24426
74,0,0.20491,0.20227
75,0,0.12783,0.15857
76,0,0.10922,0.1481
77,0,0.078847,0.12556
78,0,0.0614,0.10989
79,0,0.035536,0.084142
80,0,0.078492,0.10826
81,0,0.13056,0.14688
82,0,0.12136,0.14598
83,0,0.14303,0.16587
84,0,0.1834,0.20566
85,0,0.21103,0.24217
86,0,0.2259,0.26419
87,0,0.23802,0.29126
88,0,0.26108,0.3361
89,0,0.27531,0.37186
90,0,0.24879,0.37707
91,0,0.21543,0.37725
92,0,0.1288,0.32958
93,0,0.056139,0.2764
94,0,0.027005,0.24809
95,0,0.0089324,0.22594
96,0,0.010681,0.21965
97,0,0.0070979,0.20335
98,0,0.045731,0.21448
99,0,0.068396,0.22296
100,0,0.082288,0.22774
101,0,0.11616,0.2517
102,0,0.12517,0.26347
103,0,0.18354,0.3141
104,0,0.23451,0.36439
105,0,0.21108,0.364
106,0,0.17506,0.3549
107,0,0.12969,0.33251
108,0,0.062573,0.28056
109,0,-0.018852,0.2099
110,0,-0.1139,0.12124
111,0,-0.20679,0.014295
112,0,-0.30908,-0.1151
113,0,-0.34282,-0.19927
114,0,-0.31919,-0.24215
