Time,PV,SP,OP,Error
1,-2.015,-4.0646,0.58207,-0.86248
2,-2.405,-4.0646,0.6474,-0.35483
3,-2.405,-3.9908,0.66918,-0.2916
4,-2.9899,-3.9908,0.49495,0.46969
5,-2.7951,-3.9908,0.34249,0.21605
6,-3.38,-3.9167,0.081148,1.0409
7,-3.1851,-3.9167,-0.15842,0.7873
8,-3.38,-3.9167,-0.48511,1.0409
9,-2.9899,-3.8425,-0.70289,0.59688
10,-2.5999,-3.8425,-0.83357,0.08923
11,-2.2099,-3.8425,-0.8118,-0.41842
12,-1.8198,-3.7688,-0.65934,-0.86285
13,-1.8198,-3.7688,-0.46333,-0.86285
14,-1.8198,-3.7688,-0.26732,-0.86285
15,-1.8198,-3.6946,-0.027755,-0.79925
16,-2.2099,-3.6946,0.10293,-0.2916
17,-2.405,-3.6946,0.14648,-0.037592
18,-2.7951,-3.6208,0.059372,0.53329
19,-3.1851,-3.6208,-0.26732,1.0409
20,-3.38,-3.6208,-0.61579,1.2946
21,-2.7951,-3.5467,-0.87713,0.59688
22,-2.405,-3.5467,-0.94246,0.08923
23,-2.2099,-3.5467,-1.0078,-0.16478
24,-1.6249,-3.4725,-0.83357,-0.86248
25,-1.8198,-3.4725,-0.68112,-0.60884
26,-2.015,-3.4725,-0.59399,-0.35483
27,-2.2099,-3.4358,-0.59399,-0.069754
28,-2.5999,-3.4358,-0.72467,0.4379
29,-2.5999,-3.4358,-0.94246,0.4379
30,-2.2099,-3.3617,-1.0296,-0.0061603
31,-1.8198,-3.3617,-0.94246,-0.51381
32,-1.6249,-3.3617,-0.72467,-0.76746
33,-1.8198,-3.2875,-0.59399,-0.45022
34,-2.015,-3.2875,-0.52866,-0.19621
35,-2.2099,-3.2875,-0.52866,0.057433
36,-2.5999,-3.2504,-0.65934,0.59688
37,-2.2099,-3.2504,-0.8118,0.08923
38,-2.2099,-3.2504,-0.89891,0.08923
39,-1.6249,-3.1767,-0.8118,-0.60884
40,-2.2099,-3.1767,-0.83357,0.15246
41,-2.405,-3.1767,-0.94246,0.40647
42,-2.2099,-3.1025,-1.0514,0.21605
43,-2.2099,-3.1025,-1.1167,0.21605
44,-2.2099,-3.1025,-1.2474,0.21605
45,-1.43,-3.0659,-1.0514,-0.76746
46,-1.43,-3.0659,-0.79,-0.76746
47,-1.43,-3.0659,-0.55044,-0.76746
48,-1.6249,-2.9917,-0.35443,-0.45022
49,-1.8198,-2.9917,-0.20197,-0.19658
50,-1.6249,-2.9917,-0.093085,-0.45022
51,-1.8198,-2.9546,-0.13664,-0.16478
52,-1.8198,-2.9546,-0.11486,-0.16478
53,-1.43,-2.9546,-0.0059587,-0.67206
54,-1.8198,-2.8804,-0.027755,-0.10119
55,-2.015,-2.8804,-0.071309,0.15282
56,-1.8198,-2.8804,-0.071309,-0.10119
57,-1.43,-2.8438,0.037595,-0.57704
58,-1.8198,-2.8438,0.059372,-0.069754
59,-1.8198,-2.8438,0.037595,-0.069754
60,-2.015,-2.7696,-0.027755,0.24785
61,-2.405,-2.7696,-0.13664,0.7555
62,-2.015,-2.7696,-0.20197,0.24785
63,-2.015,-2.7325,-0.31087,0.27965
64,-2.015,-2.7325,-0.41978,0.27965
65,-2.2099,-2.7325,-0.59399,0.53329
66,-2.015,-2.6588,-0.74645,0.34287
67,-1.6249,-2.6588,-0.74645,-0.16478
68,-1.43,-2.6588,-0.68112,-0.41842
69,-1.43,-2.6217,-0.61579,-0.38662
70,-1.8198,-2.6217,-0.63756,0.12066
71,-2.405,-2.6217,-0.87713,0.88232
72,-2.405,-2.5475,-1.1385,0.94591
73,-2.2099,-2.5475,-1.378,0.69191
74,-1.8198,-2.5475,-1.4652,0.18425
75,-0.84484,-2.5104,-1.2474,-1.0529
76,-0.64996,-2.5104,-0.92068,-1.3065
77,-0.84484,-2.5104,-0.63756,-1.0529
78,-0.4548,-2.4738,-0.18019,-1.5291
79,-0.4548,-2.4738,0.23361,-1.5291
80,-0.64996,-2.4738,0.58207,-1.2751
81,-0.84484,-2.3996,0.86519,-0.95787
82,-1.43,-2.3996,0.97409,-0.19621
83,-1.8198,-2.3996,0.90874,0.31108
84,-2.2099,-2.3625,0.6474,0.85052
85,-2.405,-2.3625,0.27716,1.1045
86,-2.2099,-2.3625,-0.071309,0.85052
87,-2.2099,-2.3254,-0.44155,0.88232
88,-2.2099,-2.3254,-0.72467,0.88232
89,-1.8198,-2.3254,-0.85535,0.37467
90,-1.6249,-2.2888,-0.94246,0.15246
91,-1.2349,-2.2888,-0.94246,-0.35519
92,-0.84484,-2.2888,-0.76822,-0.86285
93,-1.04,-2.2146,-0.61579,-0.54524
94,-0.84484,-2.2146,-0.41978,-0.79925
95,-1.04,-2.2146,-0.24554,-0.54524
96,-1.43,-2.1775,-0.20197,-0.0057948
97,-1.43,-2.1775,-0.18019,-0.0057948
98,-2.2099,-2.1775,-0.39798,1.0091
99,-2.015,-2.1404,-0.65934,0.7873
100,-2.015,-2.1404,-0.85535,0.7873
101,-1.43,-2.1404,-0.89891,0.026002
102,-1.43,-2.1038,-0.85535,0.057433
103,-0.64996,-2.1038,-0.61579,-0.95787
104,-0.64996,-2.1038,-0.35443,-0.95787
105,-0.4548,-2.0667,-0.027755,-1.1801
106,-0.064751,-2.0667,0.34249,-1.6877
107,-0.25991,-2.0667,0.69096,-1.4337
108,-0.64996,-1.9925,0.9523,-0.86248
109,-1.8198,-1.9925,0.82164,0.66011
110,-2.5999,-1.9925,0.34249,1.6754
111,-2.405,-1.9554,-0.15842,1.4536
112,-2.5999,-1.9554,-0.65934,1.7072
113,-2.015,-1.9554,-0.94246,0.94591
114,-1.2349,-1.9184,-1.0078,-0.037592
115,-1.43,-1.9184,-1.0731,0.21642
116,-0.64996,-1.9184,-0.87713,-0.79889
117,-1.04,-1.8817,-0.70289,-0.2598
118,-0.84484,-1.8817,-0.55044,-0.51381
119,-0.64996,-1.8817,-0.35443,-0.76746
120,-0.64996,-1.8446,-0.18019,-0.73566
121,-0.84484,-1.8446,-0.027755,-0.48202
122,-1.2349,-1.8446,-0.0059587,0.025636
123,-2.405,-1.8075,-0.35443,1.5804
124,-2.405,-1.8075,-0.76822,1.5804
125,-2.2099,-1.8075,-1.1602,1.3264
126,-1.6249,-1.7704,-1.4216,0.59688
127,-0.64996,-1.7704,-1.3563,-0.67206
128,-0.4548,-1.7704,-1.1167,-0.92607
129,-0.25991,-1.7338,-0.89891,-1.1483
130,-0.4548,-1.7338,-0.65934,-0.89464
131,-0.25991,-1.7338,-0.35443,-1.1483
132,-0.064751,-1.6967,0.015818,-1.3705
133,-0.064751,-1.6967,0.32071,-1.3705
134,-0.25991,-1.6967,0.60385,-1.1165
135,-1.2349,-1.6596,0.6474,0.18425
136,-2.015,-1.6596,0.34249,1.1996
137,-2.2099,-1.6596,-0.049532,1.4532
138,-2.2099,-1.6225,-0.50688,1.485
139,-2.2099,-1.6225,-0.92068,1.485
140,-1.8198,-1.6225,-1.2038,0.97735
141,-1.04,-1.5855,-1.2256,-0.0057948
142,-0.4548,-1.5855,-1.0949,-0.76746
143,-0.64996,-1.5855,-0.89891,-0.51345
144,-0.84484,-1.5484,-0.8118,-0.22801
145,-0.84484,-1.5484,-0.79,-0.22801
146,-0.84484,-1.5484,-0.74645,-0.22801
147,-1.04,-1.5117,-0.74645,0.057433
148,-1.04,-1.5117,-0.74645,0.057433
149,-1.04,-1.5117,-0.72467,0.057433
150,-0.84484,-1.4746,-0.70289,-0.16478
151,-0.84484,-1.4746,-0.68112,-0.16478
152,-0.64996,-1.4746,-0.63756,-0.41842
153,-0.84484,-1.4375,-0.68112,-0.13298
154,-1.43,-1.4375,-0.89891,0.62868
155,-1.2349,-1.4375,-1.0514,0.37467
156,-1.04,-1.4005,-1.1167,0.15282
157,-0.64996,-1.4005,-1.0731,-0.35483
158,-0.25991,-1.4005,-0.85535,-0.86248
159,-0.4548,-1.4005,-0.70289,-0.60884
160,-0.84484,-1.4005,-0.61579,-0.10119
161,-0.64996,-1.4005,-0.52866,-0.35483
162,-0.84484,-1.3634,-0.52866,-0.069388
163,-1.43,-1.3634,-0.74645,0.69227
164,-1.04,-1.3634,-0.89891,0.18462
165,-0.4548,-1.3267,-0.79,-0.54561
166,-0.64996,-1.3267,-0.70289,-0.2916
167,-0.84484,-1.3267,-0.70289,-0.037957
168,-1.2349,-1.2896,-0.87713,0.50149
169,-1.43,-1.2896,-1.0514,0.7555
170,-1.2349,-1.2896,-1.1167,0.50149
171,-1.04,-1.2525,-1.2474,0.27965
172,-0.4548,-1.2525,-1.1602,-0.48202
173,-0.25991,-1.2525,-0.92068,-0.73566
174,-0.4548,-1.2155,-0.76822,-0.45022
175,-0.064751,-1.2155,-0.48511,-0.95787
176,-0.25991,-1.2155,-0.26732,-0.70386
177,-0.25991,-1.2155,-0.049532,-0.70386
178,-0.84484,-1.2155,0.081148,0.057433
179,-0.64996,-1.2155,0.21183,-0.19621
180,-1.43,-1.1784,0.015818,0.85089
181,-1.2349,-1.1784,-0.22377,0.59688
182,-1.8198,-1.1784,-0.61579,1.3582
183,-1.6249,-1.1417,-0.96424,1.136
184,-1.43,-1.1417,-1.2909,0.88232
185,-1.43,-1.1417,-1.5958,0.88232
186,-0.25991,-1.1046,-1.5087,-0.60884
187,-0.064751,-1.1046,-1.2256,-0.86285
188,-0.064751,-1.1046,-0.98601,-0.86285
189,0.32501,-1.1046,-0.61579,-1.3701
190,0.13013,-1.1046,-0.2891,-1.1165
191,-0.064751,-1.1046,-0.027755,-0.86285
192,-0.064751,-1.0675,0.25538,-0.83105
193,-0.4548,-1.0675,0.36427,-0.3234
194,-1.04,-1.0675,0.25538,0.43826
195,-1.8198,-1.0305,-0.11486,1.485
196,-1.8198,-1.0305,-0.55044,1.485
197,-1.43,-1.0305,-0.85535,0.97771
198,-0.84484,-1.0305,-0.96424,0.21605
199,-0.84484,-1.0305,-1.0296,0.21605
200,-0.64996,-1.0305,-1.0514,-0.037592
201,-0.64996,-0.99338,-1.0296,-0.0057948
202,-0.64996,-0.99338,-1.0296,-0.0057948
203,-0.25991,-0.99338,-0.92068,-0.51345
204,-0.25991,-0.95672,-0.76822,-0.48202
205,-0.25991,-0.95672,-0.74645,-0.48202
206,-0.4548,-0.95672,-0.68112,-0.22837
207,-0.64996,-0.95672,-0.63756,0.025636
208,-0.4548,-0.95672,-0.55044,-0.22837
209,-0.4548,-0.95672,-0.39798,-0.22837
210,-0.64996,-0.91963,-0.2891,0.057433
211,-0.84484,-0.91963,-0.35443,0.31108
212,-1.43,-0.91963,-0.61579,1.0727
213,-1.2349,-0.88255,-0.94246,0.85052
214,-0.84484,-0.88255,-1.1167,0.34287
215,-0.4548,-0.88255,-1.1602,-0.16478
216,0.13013,-0.88255,-0.98601,-0.92607
217,-0.064751,-0.88255,-0.79,-0.67243
218,-0.064751,-0.88255,-0.61579,-0.67243
219,0.32501,-0.84546,-0.3762,-1.1479
220,0.13013,-0.84546,-0.18019,-0.89428
221,0.13013,-0.84546,0.037595,-0.89428
222,-0.64996,-0.80838,0.1247,0.15282
223,-0.4548,-0.80838,0.1247,-0.10119
224,-0.84484,-0.80838,0.015818,0.40647
225,-1.2349,-0.80838,-0.20197,0.91412
226,-0.84484,-0.80838,-0.3762,0.40647
227,-0.84484,-0.80838,-0.55044,0.40647
228,-1.04,-0.77172,-0.76822,0.69191
229,-0.84484,-0.77172,-0.96424,0.4379
230,-0.84484,-0.77172,-1.0949,0.4379
231,-0.84484,-0.77172,-1.2256,0.4379
232,-0.64996,-0.77172,-1.3127,0.18425
233,-0.64996,-0.77172,-1.378,0.18425
234,-0.25991,-0.73464,-1.3127,-0.2916
235,-0.064751,-0.73464,-1.2038,-0.54561
236,-0.25991,-0.73464,-1.0296,-0.2916
237,-0.064751,-0.69755,-0.79,-0.51381
238,0.32501,-0.69755,-0.50688,-1.0211
239,-0.064751,-0.69755,-0.33265,-0.51381
240,0.13013,-0.69755,-0.13664,-0.76746
241,-0.064751,-0.69755,0.015818,-0.51381
242,0.13013,-0.69755,0.25538,-0.76746
243,-0.064751,-0.66047,0.40784,-0.48202
244,-0.64996,-0.66047,0.34249,0.27965
245,-1.6249,-0.66047,0.037595,1.5486
246,-1.2349,-0.66047,-0.24554,1.0409
247,-1.2349,-0.66047,-0.48511,1.0409
248,-0.84484,-0.62338,-0.65934,0.56508
249,-0.64996,-0.62338,-0.74645,0.31144
250,-1.04,-0.62338,-0.92068,0.81909
251,-0.64996,-0.62338,-1.0296,0.31144
252,-0.64996,-0.62338,-1.1385,0.31144
253,-0.4548,-0.62338,-1.1167,0.057433
254,-0.25991,-0.5863,-1.0514,-0.16441
255,0.13013,-0.5863,-0.89891,-0.67206
256,-0.064751,-0.5863,-0.87713,-0.41842
257,-0.4548,-0.5863,-0.92068,0.08923
258,-0.064751,-0.5863,-0.87713,-0.41842
259,0.13013,-0.5863,-0.74645,-0.67206
260,0.13013,-0.54964,-0.63756,-0.64063
261,-0.064751,-0.54964,-0.48511,-0.38699
262,0.52018,-0.54964,-0.13664,-1.1483
263,0.52018,-0.54964,0.16826,-1.1483
264,0.52018,-0.54964,0.47317,-1.1483
265,0.13013,-0.54964,0.6474,-0.64063
266,-0.4548,-0.51255,0.5385,0.15246
267,-1.04,-0.51255,0.25538,0.91412
268,-0.84484,-0.51255,-0.0059587,0.66011
269,-1.04,-0.51255,-0.31087,0.91412
270,-0.84484,-0.51255,-0.55044,0.66011
271,-0.64996,-0.51255,-0.61579,0.40647
272,-0.64996,-0.51255,-0.79,0.40647
273,-0.64996,-0.47547,-0.96424,0.43826
274,-0.64996,-0.47547,-1.1385,0.43826
275,-0.4548,-0.47547,-1.2038,0.18425
276,-0.25991,-0.47547,-1.1385,-0.069388
277,0.13013,-0.47547,-1.0296,-0.57704
278,-0.25991,-0.47547,-0.94246,-0.069388
279,0.32501,-0.43838,-0.74645,-0.79889
280,0.32501,-0.43838,-0.57221,-0.79889
281,0.32501,-0.43838,-0.3762,-0.79889
282,0.32501,-0.43838,-0.20197,-0.79889
283,-0.064751,-0.43838,-0.11486,-0.2916
284,-0.25991,-0.43838,-0.071309,-0.037592
285,-0.64996,-0.40173,-0.15842,0.50149
286,-0.64996,-0.40173,-0.33265,0.50149
287,-1.2349,-0.40173,-0.63756,1.2628
288,-1.04,-0.40173,-0.87713,1.0091
289,-1.2349,-0.40173,-1.2256,1.2628
290,-0.4548,-0.40173,-1.2909,0.24748
291,-0.064751,-0.40173,-1.2256,-0.26017
292,-0.25991,-0.40173,-1.0078,-0.0061603
293,0.13013,-0.36464,-0.83357,-0.48202
294,-0.064751,-0.36464,-0.74645,-0.22837
295,-0.064751,-0.36464,-0.65934,-0.22837
296,-0.064751,-0.36464,-0.61579,-0.22837
297,0.32501,-0.36464,-0.41978,-0.73566
298,0.52018,-0.36464,-0.15842,-0.98967
299,0.52018,-0.32756,0.14648,-0.95787
300,0.71506,-0.32756,0.5385,-1.2115
301,0.52018,-0.32756,0.90874,-0.95787
302,-0.25991,-0.32756,0.97409,0.057433
303,-1.04,-0.32756,0.75629,1.0727
304,-1.8198,-0.32756,0.21183,2.0877
305,-1.8198,-0.32756,-0.3762,2.0877
306,-1.43,-0.32756,-0.8118,1.5804
307,-0.4548,-0.32756,-0.92068,0.31108
308,-0.064751,-0.32756,-0.87713,-0.19658
309,0.71506,-0.29047,-0.63756,-1.1797
310,0.13013,-0.29047,-0.61579,-0.41842
311,0.13013,-0.29047,-0.52866,-0.41842
312,0.32501,-0.29047,-0.35443,-0.67206
313,0.13013,-0.29047,-0.26732,-0.41842
314,-0.25991,-0.29047,-0.20197,0.08923
315,-0.064751,-0.25339,-0.15842,-0.13298
316,-0.4548,-0.25339,-0.26732,0.37467
317,-0.64996,-0.25339,-0.41978,0.62868
318,-0.064751,-0.25339,-0.46333,-0.13298
319,-0.25991,-0.25339,-0.55044,0.12103
320,0.13013,-0.25339,-0.48511,-0.38662
321,-0.064751,-0.25339,-0.48511,-0.13298
322,0.52018,-0.25339,-0.24554,-0.89428
323,-0.064751,-0.25339,-0.22377,-0.13298
324,0.13013,-0.2163,-0.20197,-0.35483
325,0.13013,-0.2163,-0.18019,-0.35483
326,-0.25991,-0.2163,-0.26732,0.15282
327,-0.25991,-0.2163,-0.31087,0.15282
328,-0.4548,-0.2163,-0.39798,0.40647
329,-0.064751,-0.2163,-0.35443,-0.10119
330,-0.25991,-0.2163,-0.44155,0.15282
331,-0.064751,-0.2163,-0.39798,-0.10119
332,-0.064751,-0.2163,-0.3762,-0.10119
333,-0.064751,-0.17964,-0.31087,-0.069754
334,-0.4548,-0.17964,-0.44155,0.4379
335,-0.64996,-0.17964,-0.68112,0.69191
336,-0.64996,-0.17964,-0.89891,0.69191
337,-0.4548,-0.17964,-1.0078,0.4379
338,-0.064751,-0.17964,-1.0078,-0.069754
339,0.13013,-0.17964,-0.96424,-0.3234
340,0.32501,-0.17964,-0.83357,-0.57704
341,0.13013,-0.17964,-0.72467,-0.3234
342,-0.064751,-0.14256,-0.72467,-0.037957
343,0.13013,-0.14256,-0.63756,-0.2916
344,-0.4548,-0.14256,-0.70289,0.46969
345,-0.64996,-0.14256,-0.92068,0.7237
346,-0.064751,-0.14256,-0.94246,-0.037957
347,0.32501,-0.14256,-0.8118,-0.54524
348,0.32501,-0.14256,-0.63756,-0.54524
349,0.52018,-0.14256,-0.39798,-0.79925
350,0.71506,-0.14256,-0.093085,-1.0529
351,1.3003,-0.10547,0.38606,-1.7828
352,1.3003,-0.10547,0.88697,-1.7828
353,1.3003,-0.10547,1.4314,-1.7828
354,1.3003,-0.10547,1.9541,-1.7828
355,1.1051,-0.10547,2.3679,-1.5287
356,0.52018,-0.10547,2.6075,-0.76746
357,-0.4548,-0.10547,2.564,0.50149
358,-1.43,-0.10547,2.1284,1.7708
359,-2.405,-0.10547,1.3008,3.0397
360,-2.7951,-0.10547,0.32071,3.5474
361,-2.405,-0.10547,-0.63756,3.0397
362,-0.84484,-0.06839,-1.0296,1.0409
